,,Depth (cm),,,,,,,,,,,,,,,,,
,Methylophaga frappieri,6,0,17,29,6,6,34,0,13,30,28,0,6,31,0,16,22,24
,Methylophaga nitratireducenticrescens,6,0,91,132,12,47,75,8,29,50,62,32,18,85,19,22,16,107
,Piscirickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Piscirickettsia salmonis,0,0,44,69,0,13,16,0,5,38,39,23,15,53,31,46,21,124
,Thiomicrospira,0,0,0,0,0,0,2,2,2,3,0,0,0,8,8,6,3,11
,Thiomicrospira aerophila,0,0,54,114,8,14,0,0,0,30,19,8,9,17,0,10,8,26
,Thiomicrospira cyclica,0,0,5,15,0,0,20,0,0,8,8,6,0,22,0,0,6,23
,Thiotrichaceae,0,0,2,7,4,7,6,4,0,5,6,1,1,5,1,4,2,5
,Beggiatoa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Beggiatoa leptomitoformis,0,0,31,49,9,11,11,0,11,23,18,11,5,25,7,8,11,20
,Thioploca,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
,Thioploca ingrica,0,0,41,59,0,12,10,9,7,46,49,20,5,61,23,54,24,90
,Thiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <g-proteobacteria,genus Thiothrix>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Thiothrix sp.,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
,unclassified Thiotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endoecteinascidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endoecteinascidia frumentensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,unclassified Gammaproteobacteria,16,0,26,50,30,31,20,25,32,48,35,21,30,68,33,47,34,81
,Candidatus Baumannia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Baumannia cicadellinicola,0,0,39,80,8,38,7,10,0,42,43,19,6,38,22,35,40,112
,Candidatus Competibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Competibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Competibacter phosphatis,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Thioglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Thioglobus singularis,0,0,23,21,0,0,0,6,0,14,25,5,0,27,8,15,31,104
,Ignatzschineria,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudohongiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudohongiella spirulinae,0,0,69,83,8,13,62,5,11,38,34,25,10,62,16,21,21,43
,SAR86 cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <g-proteobacteria,clade SAR86 cluster>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured gamma proteobacterium eBACHOT4E07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,uncultured marine gamma proteobacterium EBAC20E09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,Sedimenticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sedimenticola thiotaurini,7,0,196,322,33,53,74,24,79,198,106,74,46,158,86,109,83,350
,sulfur-oxidizing symbionts,11,0,3,4,13,10,4,6,7,4,13,16,3,14,2,9,6,15
,Bathymodiolus thermophilus thioautotrophic gill symbiont,0,0,12,17,0,8,9,0,0,19,7,5,0,13,0,14,7,10
,Calyptogena okutanii thioautotrophic gill symbiont,0,0,8,13,0,0,6,0,0,10,7,0,0,9,6,13,29,70
,Candidatus Endoriftia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endoriftia persephone,0,0,35,34,0,6,22,13,17,48,38,34,11,34,18,44,34,92
,Candidatus Ruthia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Ruthia magnifica,0,0,20,46,0,15,0,0,0,18,27,0,5,24,7,23,22,105
,Thiolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thiolapillus brandeum,0,0,151,227,22,62,41,11,38,205,112,74,30,116,77,134,80,299
,unclassified Gammaproteobacteria (miscellaneous),9,0,5,12,5,11,9,19,13,4,16,6,7,12,13,12,10,11
,endosymbiont of Euscepes postfasciatus,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8
,endosymbiont of unidentified scaly snail isolate Monju,7,0,198,307,53,82,78,37,34,332,207,137,63,194,114,144,104,242
,gamma proteobacterium HdN1,0,0,79,106,8,23,22,0,5,57,55,26,36,62,50,69,25,121
,gamma proteobacterium symbiont of Plautia stali,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,12
,Vibrionales,0,0,2,1,2,5,2,0,0,2,0,0,0,1,0,0,0,0
,Vibrionaceae,12,0,13,31,5,11,13,5,10,13,40,13,13,43,22,31,19,83
,Aliivibrio,4,0,1,4,1,5,5,4,5,11,40,7,2,18,0,7,10,5
,Aliivibrio fischeri,5,0,10,10,0,0,5,0,0,16,21,0,0,13,7,5,0,9
,Aliivibrio salmonicida,0,0,30,74,5,40,7,7,0,57,167,21,6,58,16,22,23,77
,Aliivibrio wodanis,0,0,6,0,0,0,0,0,10,9,48,0,0,18,5,6,0,16
,Grimontia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grimontia hollisae,0,0,13,40,5,0,15,0,11,25,13,0,0,17,15,31,8,58
,Photobacterium,0,0,5,7,5,5,3,5,4,3,4,0,2,5,5,6,1,6
,Photobacterium damselae,0,0,26,18,0,7,13,0,11,46,41,19,11,66,37,56,50,165
,Photobacterium gaetbulicola,0,0,23,34,7,19,16,5,26,44,41,23,10,64,17,53,21,111
,Photobacterium profundum,0,0,18,23,0,5,11,0,11,21,136,6,10,75,11,22,13,34
,Vibrio,23,0,136,239,44,81,87,59,63,176,316,126,87,260,125,152,148,307
,unclassified Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vibrio sp. EJY3,0,0,6,8,0,0,0,0,5,6,0,5,0,8,0,0,7,15
,Vibrio alfacsensis,0,0,11,0,0,0,0,0,0,8,5,0,0,15,6,6,0,0
,Vibrio anguillarum,0,0,77,116,16,23,29,10,17,38,46,20,10,55,31,54,33,98
,Vibrio breoganii,0,0,19,56,5,5,0,0,0,23,9,13,0,22,5,11,0,29
,Vibrio casei,0,0,28,22,0,0,9,0,0,5,13,0,8,17,0,0,7,8
,Vibrio chagasii,0,0,44,43,0,12,13,0,0,37,23,10,5,26,13,16,0,28
,Vibrio cholerae,0,0,68,153,13,24,32,6,22,46,45,10,0,46,36,62,26,94
,Vibrio coralliilyticus,6,0,39,58,5,6,44,5,12,63,35,14,0,23,15,20,28,120
,Vibrio crassostreae,0,0,12,21,0,0,0,0,0,19,26,15,0,21,0,7,5,21
,Vibrio cyclitrophicus,0,0,10,8,0,0,6,0,6,25,22,0,0,16,5,11,5,12
,Vibrio fluvialis,0,0,27,41,8,13,30,7,25,31,22,5,5,21,12,18,7,40
,Vibrio furnissii,0,0,39,116,10,11,17,0,20,26,17,8,6,28,16,41,30,137
,Vibrio gazogenes,0,0,15,25,0,7,8,0,9,12,7,0,5,26,6,12,14,25
,Vibrio harveyi group,5,0,15,8,6,28,11,8,14,5,15,18,5,7,21,14,12,10
,Vibrio alginolyticus,0,0,21,26,0,0,0,5,0,16,26,8,0,32,10,28,13,83
,Vibrio azureus,0,0,5,11,0,0,0,0,0,11,14,0,0,8,0,8,6,20
,Vibrio campbellii,0,0,32,60,5,8,12,0,0,58,35,10,0,32,23,22,22,127
,Vibrio diabolicus subgroup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vibrio antiquarius,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,Vibrio diabolicus,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,6
,Vibrio harveyi,0,0,8,7,0,0,0,0,0,11,0,6,0,6,0,5,0,5
,Vibrio jasicida,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Vibrio natriegens,0,0,15,32,0,0,9,0,6,12,12,0,6,19,7,19,11,20
,Vibrio owensii,0,0,9,8,0,7,20,0,6,14,7,0,0,8,5,7,0,16
,Vibrio parahaemolyticus,0,0,46,78,8,6,25,0,11,63,39,13,10,35,13,21,15,78
,Vibrio rotiferianus,0,0,10,5,0,0,6,6,0,15,17,0,0,9,11,39,7,38
,Vibrio hyugaensis,0,0,5,9,0,0,12,0,15,10,0,5,5,19,0,0,0,32
,Vibrio mediterranei,0,0,16,22,0,6,17,0,0,25,17,0,0,9,0,11,0,11
,Vibrio mimicus,0,0,16,10,0,0,12,0,6,17,13,6,0,13,8,5,10,19
,Vibrio neonatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Vibrio nigripulchritudo,0,0,13,17,0,5,13,0,0,16,5,0,0,23,0,6,5,13
,Vibrio oreintalis group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vibrio tubiashii,0,0,0,8,0,0,0,0,0,9,0,0,0,12,0,7,8,28
,Vibrio ruber,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
,Vibrio rumoiensis,0,0,15,28,6,5,5,0,0,15,7,0,0,17,0,11,7,16
,Vibrio salilacus,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Vibrio scophthalmi,0,0,7,10,0,0,0,0,0,13,0,0,0,6,0,8,0,10
,Vibrio splendidus,0,0,0,6,0,0,0,0,0,0,99,0,0,51,0,0,0,13
,Vibrio tasmaniensis,0,0,6,10,0,0,0,0,0,11,18,0,0,15,0,0,0,6
,Vibrio tritonius,0,0,0,24,0,0,0,0,8,15,5,0,0,5,7,0,5,6
,Vibrio vulnificus,0,0,50,57,12,14,36,6,32,58,40,29,12,43,15,32,17,51
,Xanthomonadales,6,0,8,14,1,3,3,3,0,28,10,3,4,8,8,3,4,5
,Rhodanobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dokdonella,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Dokdonella koreensis,0,0,159,292,55,84,95,34,16,308,171,182,87,132,108,124,86,231
,Dyella,8,0,36,64,19,13,11,15,5,32,23,21,17,23,34,34,8,59
,Dyella japonica,5,0,83,124,19,32,42,13,17,123,75,66,31,53,28,55,26,78
,Dyella jiangningensis,37,0,131,214,18,48,63,29,7,180,89,63,34,61,49,40,30,98
,Dyella terrae,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
,Dyella thiooxydans,7,0,134,184,31,58,71,29,7,262,157,133,66,89,90,96,56,137
,Frateuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Frateuria aurantia,0,0,76,132,16,30,36,16,12,110,62,44,37,61,32,57,47,83
,Luteibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Luteibacter rhizovicinus,5,0,128,149,12,41,23,19,5,194,136,247,24,88,47,69,31,82
,Rhodanobacter,1,0,9,19,13,4,9,6,4,17,14,9,11,6,1,7,8,7
,Rhodanobacter denitrificans,11,0,149,229,21,71,77,37,8,276,138,139,47,90,100,68,54,136
,Rhodanobacter glycinis,5,0,136,183,28,79,87,42,25,183,140,95,33,70,71,115,56,166
,Rhodanobacter xiangquanii,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xanthomonadaceae,94,23,875,1341,217,357,459,203,133,1538,1068,1050,299,711,490,482,389,925
,Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Arenimonas daejeonensis,6,0,138,176,37,57,105,34,8,223,151,125,71,113,71,102,70,175
,Luteimonas,0,0,0,0,0,1,0,0,0,1,2,2,0,2,1,0,0,0
,unclassified Luteimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Luteimonas sp. Gr-4,13,0,168,258,42,71,103,38,8,264,166,160,68,117,86,109,60,176
,Lysobacter,19,0,87,153,35,39,52,32,29,186,140,119,37,83,56,68,57,105
,Lysobacter antibioticus,0,0,105,104,15,47,34,12,0,221,92,88,38,83,50,53,49,96
,Lysobacter capsici,0,0,101,175,21,42,69,11,0,179,113,87,33,58,45,49,32,112
,Lysobacter enzymogenes,17,0,168,275,45,72,141,45,11,540,214,202,78,128,103,113,57,193
,Lysobacter gummosus,5,0,83,171,17,53,52,10,8,136,100,70,28,66,50,41,34,96
,Lysobacter lycopersici,14,0,120,203,21,34,57,27,5,151,106,103,31,88,60,47,36,137
,Pseudoxanthomonas,1,0,9,12,0,6,17,10,1,8,7,11,3,8,3,2,9,5
,Pseudoxanthomonas spadix,5,0,116,171,27,52,68,17,12,176,105,136,29,74,82,56,46,85
,Pseudoxanthomonas suwonensis,13,0,263,382,54,107,193,55,22,430,245,245,86,170,159,163,89,236
,Stenotrophomonas,9,3,60,117,22,23,41,12,16,134,95,110,30,56,40,31,25,70
,Stenotrophomonas acidaminiphila,12,0,162,210,45,60,105,43,13,261,128,124,43,90,71,79,50,134
,Stenotrophomonas maltophilia group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stenotrophomonas maltophilia,62,7,555,911,126,248,307,111,72,1025,629,570,219,409,315,399,219,597
,Stenotrophomonas nitritireducens,0,0,62,91,9,36,30,9,0,103,72,44,23,51,24,30,34,82
,Stenotrophomonas rhizophila,5,0,157,258,39,64,116,31,13,316,166,202,55,116,81,112,58,176
,Xanthomonas,52,9,477,827,117,211,252,106,69,934,558,606,200,385,309,362,252,640
,"environmental samples <g-proteobacteria,genus Xanthomonas>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Xanthomonas sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,Xanthomonas albilineans,0,0,66,128,16,28,45,10,11,115,67,54,24,41,34,46,32,81
,Xanthomonas arboricola,0,0,25,38,5,10,11,6,0,46,31,32,21,29,24,28,13,38
,Xanthomonas axonopodis,0,0,9,23,6,12,12,12,6,36,28,27,6,11,19,10,11,26
,Xanthomonas campestris,12,0,130,214,23,60,52,37,20,221,142,94,51,106,78,116,61,201
,Xanthomonas citri group,0,0,18,25,4,7,7,0,0,33,17,10,5,9,7,15,9,19
,Xanthomonas citri,7,0,199,288,32,60,68,36,6,304,159,127,43,96,66,78,45,140
,Xanthomonas fuscans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
,Xanthomonas euvesicatoria,0,0,21,23,0,0,0,0,0,20,0,0,0,0,5,0,0,5
,Xanthomonas fragariae,0,0,42,45,5,6,26,7,5,53,60,29,14,32,22,38,26,76
,Xanthomonas gardneri,0,0,5,14,0,0,0,0,0,20,12,18,7,7,6,5,6,20
,Xanthomonas oryzae,8,0,161,265,31,47,65,19,20,239,156,134,72,115,91,109,60,181
,Xanthomonas perforans,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6
,Xanthomonas phaseoli,0,0,33,33,6,0,15,0,0,36,27,5,19,19,18,23,0,45
,Xanthomonas sacchari,5,0,84,87,17,27,41,9,0,148,93,82,35,47,39,46,37,87
,Xanthomonas translucens,9,0,175,249,57,78,115,36,62,444,193,179,90,151,96,133,68,223
,Xanthomonas vasicola,0,0,8,14,0,0,0,0,0,11,0,0,0,0,0,0,0,6
,Xanthomonas vesicatoria,0,0,39,59,9,23,25,5,0,81,52,40,17,37,26,29,20,71
,Xylella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xylella fastidiosa,0,0,70,115,6,22,22,5,15,40,51,18,8,42,13,33,23,61
,Xylella taiwanensis,0,0,5,19,0,0,6,0,6,22,12,0,0,11,0,0,0,31
,Hydrogenophilalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenophilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenophilaceae,0,0,0,0,8,0,0,0,0,1,0,0,0,0,4,0,0,0
,Hydrogenophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenophilus thermoluteolus,7,0,103,183,12,19,34,8,8,93,61,31,22,37,28,60,25,95
,Oligoflexia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteriovoracales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteriovoracaceae,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Bacteriovorax,0,0,3,0,0,6,7,0,0,5,4,3,0,2,5,9,2,4
,Bacteriovorax stolpii,0,0,36,26,0,11,0,0,0,35,30,12,9,32,12,15,17,33
,Halobacteriovoraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Halobacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Halobacteriovorax marinus,0,0,20,16,0,0,0,0,0,33,17,8,17,38,7,11,15,56
,Bdellovibrionales,3,0,3,3,1,4,0,1,4,0,0,1,0,4,0,0,1,0
,Bdellovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bdellovibrio,0,0,12,18,0,4,5,2,9,13,19,20,4,19,7,13,9,26
,Bdellovibrio bacteriovorus,5,0,225,470,77,57,30,22,0,191,167,66,34,112,73,72,50,224
,Bdellovibrio exovorus,0,0,29,104,12,12,15,5,0,19,34,6,0,8,11,5,10,22
,unclassified Proteobacteria,0,0,3,5,0,1,2,2,0,0,7,0,0,1,0,2,0,1
,Zetaproteobacteria,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0
,"environmental samples <proteobacteria,class Zetaproteobacteria>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Zetaproteobacteria bacterium,0,0,0,7,0,6,0,0,0,9,0,0,8,10,0,0,0,9
,PVC group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chlamydiia,1,0,2,1,1,1,0,0,0,6,3,1,0,2,2,1,0,1
,Chlamydiales,5,0,36,27,19,11,5,12,5,163,39,29,19,41,20,32,24,68
,Chlamydiaceae,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
,Chlamydia/Chlamydophila group,6,0,38,70,17,14,17,11,5,53,59,33,10,50,13,36,24,139
,Chlamydia,0,0,8,45,8,21,8,13,5,8,12,31,23,9,19,14,4,27
,Chlamydia abortus,0,0,0,0,5,0,0,0,0,14,12,0,0,0,0,10,0,5
,Chlamydia avium,0,0,21,41,0,0,6,0,0,6,14,0,0,15,0,5,10,41
,Chlamydia caviae,0,0,8,13,0,0,0,0,0,8,0,0,0,0,0,5,0,7
,Chlamydia felis,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,7,5,10
,Chlamydia gallinacea,0,0,8,9,0,0,0,0,0,21,14,5,6,17,9,5,9,33
,Chlamydia muridarum,0,0,10,8,0,0,0,0,0,13,5,0,0,0,0,7,7,8
,Chlamydia pecorum,0,0,14,18,0,9,8,0,0,12,19,0,0,11,12,8,5,18
,Chlamydia pneumoniae,0,0,12,41,0,10,0,0,0,30,23,5,9,27,16,14,11,54
,Chlamydia psittaci,0,0,7,16,0,5,0,0,0,7,0,0,0,8,0,8,0,9
,Chlamydia suis,0,0,39,44,0,16,14,7,6,55,69,22,13,39,27,45,21,111
,Chlamydia trachomatis,0,0,10,34,11,17,12,0,0,28,11,0,0,7,5,10,7,20
,"environmental samples <chlamydias,genus Chlamydia>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Chlamydia sp.,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,"environmental samples <chlamydias,order Chlamydiales>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Chlamydiales bacterium,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,class Chlamydiia>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Chlamydiae bacterium,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
,Parachlamydiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Criblamydiaceae,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Criblamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Criblamydia sequanensis,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
,Estrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estrella lausannensis,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Parachlamydiaceae,2,0,6,7,4,6,4,3,8,34,6,5,7,10,7,9,4,7
,Candidatus Protochlamydia,5,0,2,3,2,8,1,0,0,6,4,6,3,2,1,6,0,4
,Candidatus Protochlamydia amoebophila,0,0,18,18,0,0,0,0,0,19,11,0,0,15,7,23,5,45
,Candidatus Protochlamydia naegleriophila,0,0,53,39,9,6,8,0,0,65,26,23,7,15,6,21,13,43
,Neochlamydia,0,0,2,3,0,1,0,0,0,9,1,1,0,3,0,3,0,3
,unclassified Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neochlamydia sp. S13,0,0,29,85,0,12,0,5,0,34,30,15,0,31,27,31,21,138
,Parachlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,genus Parachlamydia>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Parachlamydia sp.,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Parachlamydia acanthamoebae,0,0,8,20,10,6,11,6,0,55,27,13,12,22,9,22,7,62
,Simkaniaceae,0,0,2,9,0,12,3,0,6,16,8,1,3,3,2,1,4,17
,Candidatus Fritschea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Fritschea eriococci,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Simkania,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
,Simkania negevensis,0,0,21,23,0,0,11,0,0,83,28,12,12,24,20,31,21,38
,unclassified Simkaniaceae,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,8
,Waddliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Waddlia,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Waddlia chondrophila,0,0,85,98,0,22,21,12,0,69,44,28,16,50,22,29,17,102
,Kiritimatiellaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiritimatiellae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiritimatiellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiritimatiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiritimatiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiritimatiella glycovorans,25,0,791,1235,188,338,436,179,73,1026,642,505,302,486,371,505,304,845
,Lentisphaerae,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
,"environmental samples <bacteria,phylum Lentisphaerae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Lentisphaerae bacterium,0,0,17,14,0,0,0,0,0,12,21,0,10,17,5,9,8,23
,Planctomycetes,12,7,311,351,50,139,96,45,14,696,290,203,107,253,230,298,121,441
,Candidatus Brocadiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Brocadiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Brocadiaceae,1,0,25,53,5,24,10,12,0,29,31,17,15,28,22,31,22,44
,Candidatus Brocadia,0,0,9,16,5,9,0,0,0,8,17,9,10,27,6,16,9,45
,Candidatus Brocadia sapporoensis,0,0,9,10,0,0,0,0,0,7,0,0,0,0,0,0,0,14
,Candidatus Jettenia,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Jettenia asiatica,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
,Candidatus Kuenenia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Candidatus Kuenenia stuttgartiensis,6,0,739,1362,118,225,154,95,12,745,587,331,171,425,379,621,289,1172
,Candidatus Scalindua,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0
,"environmental samples <bacteria,genus Candidatus Scalindua>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Candidatus Scalindua sp.,0,0,0,5,0,0,0,0,0,5,7,0,0,0,8,11,5,16
,Phycisphaerae,0,0,0,4,2,0,1,4,2,0,0,0,0,1,0,0,3,0
,"environmental samples <bacteria,class Phycisphaerae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Phycisphaerae bacterium,0,0,25,44,0,22,0,0,0,38,35,19,17,30,52,71,24,104
,Phycisphaerales,0,0,2,0,2,4,2,1,0,0,0,0,3,1,4,0,5,2
,"environmental samples <bacteria,order Phycisphaerales>",0,0,0,8,0,0,0,0,0,5,10,3,0,1,0,0,0,4
,uncultured Phycisphaerales bacterium,0,0,0,0,0,0,0,0,0,10,11,15,0,9,0,10,0,11
,Phycisphaeraceae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,Phycisphaera,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,1,2
,Phycisphaera mikurensis,19,0,1120,1504,254,620,865,343,116,2505,1389,1233,541,957,1001,1048,536,1436
,Planctomycetia,1,0,70,56,9,13,15,6,9,65,38,33,28,55,35,50,25,94
,Planctomycetales,6,1,38,57,9,26,9,10,5,172,66,32,17,57,33,70,35,103
,"environmental samples <planctomycetes,order Planctomycetales>",2,0,93,115,8,52,17,16,9,111,96,54,45,77,58,84,38,134
,uncultured bacterium SCALE-10,0,0,6,8,0,0,5,0,0,9,0,0,0,0,0,0,0,5
,uncultured Planctomycetales bacterium,0,0,72,100,10,25,18,10,0,102,81,35,35,57,59,74,33,154
,uncultured Planctomycetales bacterium HF0500_02G17,0,0,9,5,0,0,5,0,0,20,6,9,0,7,8,0,0,7
,uncultured Planctomycetales bacterium HF0500_40D21,0,0,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,7
,uncultured Planctomycetales bacterium HF0770_03I01,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
,uncultured planctomycete,7,0,715,871,67,416,159,104,31,1203,813,432,242,682,532,678,338,1217
,uncultured planctomycete 3FN,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7
,uncultured planctomycete 8FN,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5
,Gemmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gemmata,0,0,0,1,1,2,1,0,1,4,4,2,4,2,1,3,2,0
