,,Depth (cm),,,,,,,,,,,,,
,Pedomicrobium,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,"environmental samples <a-proteobacteria,genus Pedomicrobium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Pedomicrobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibacterium halotolerans,64,37,47,27,19,15,58,34,98,43,27,38,16,24
,Rhodomicrobium,1,0,1,0,0,0,2,0,0,1,0,0,1,0
,Rhodomicrobium vannielii,221,166,169,65,60,29,101,113,384,137,53,171,131,118
,Rhodoplanes,3,3,4,1,0,0,3,5,3,0,2,0,1,3
,"environmental samples <a-proteobacteria,genus Rhodoplanes>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodoplanes sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodoplanes elegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Rhodoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodoplanes sp. HMD01017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodoplanes sp. Z2-YC6860,881,442,574,261,262,334,273,616,1583,857,152,584,798,307
,Youhaiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Youhaiella tibetensis,103,96,88,22,31,31,132,52,199,67,42,64,39,45
,Methylobacteriaceae,4,1,1,1,2,0,1,0,2,1,1,3,2,2
,Methylobacterium,813,607,707,309,259,461,385,650,1600,686,203,754,727,543
,Methylobacterium aquaticum,178,129,134,62,37,74,81,92,356,131,52,106,98,94
,Methylobacterium brachiatum,93,103,94,22,28,47,63,73,221,98,36,86,53,60
,Methylobacterium nodulans,165,136,118,42,29,50,77,105,308,143,50,124,99,88
,Methylobacterium oryzae,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,Methylobacterium phyllosphaerae,11,0,8,0,0,5,0,0,22,6,11,18,7,0
,Methylobacterium radiotolerans,6,6,6,7,0,0,19,0,47,13,6,17,0,5
,unclassified Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylobacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylobacterium sp. 4-46,172,156,141,52,48,53,91,86,348,125,42,136,93,88
,Methylobacterium sp. AMS5,34,29,24,13,14,10,18,21,62,33,9,35,28,9
,Methylobacterium sp. C1,12,5,16,0,0,0,6,0,29,5,7,0,16,10
,Methylobacterium sp. XJLW,0,0,6,0,0,0,0,0,7,0,0,5,0,5
,Methylorubrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylorubrum extorquens,114,92,106,38,30,42,60,89,203,109,36,93,95,84
,Methylorubrum populi,186,156,160,50,57,46,102,115,338,141,82,157,117,99
,Methylorubrum zatmanii,0,0,0,0,0,0,0,0,5,0,0,5,0,0
,Microvirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Microvirga lotononidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylocystaceae,29,21,20,7,7,7,9,36,45,18,11,24,24,7
,Methylocystis,60,91,245,149,83,87,129,1814,865,215,70,386,774,338
,Methylocystis bryophila,111,81,108,40,22,30,62,66,220,87,47,105,87,69
,Methylocystis rosea,109,111,234,134,84,82,115,1862,914,184,101,462,724,317
,unclassified Methylocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylocystis sp. SC2,110,95,219,141,83,86,103,1912,841,214,90,401,757,288
,Methylosinus,3,1,0,0,0,0,1,0,2,2,0,1,1,0
,Methylosinus trichosporium,262,141,167,53,59,60,83,151,408,147,71,177,149,109
,Phyllobacteriaceae,50,76,52,21,21,19,14,43,130,36,6,62,50,34
,Aminobacter,18,22,11,8,3,7,5,14,44,17,1,15,8,3
,Aminobacter aminovorans,123,115,75,38,16,27,36,66,239,85,21,65,61,60
,unclassified Aminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aminobacter sp. MSH1,153,127,79,32,26,43,44,68,237,80,42,76,51,46
,Chelativorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Chelativorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chelativorans sp. BNC1,75,58,51,29,21,20,39,46,149,49,26,63,50,36
,Hoeflea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hoeflea olei,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium,381,360,355,114,115,165,168,307,924,350,122,351,339,238
,"environmental samples <a-proteobacteria,genus Mesorhizobium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Mesorhizobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium amorphae,131,129,116,18,36,47,56,104,264,106,32,117,71,77
,Mesorhizobium australicum,75,70,66,24,20,38,27,53,174,61,20,71,53,49
,Mesorhizobium ciceri,37,36,30,6,11,12,14,31,78,31,8,29,14,29
,Mesorhizobium huakuii,11,16,7,5,0,0,8,8,32,6,0,16,7,0
,Mesorhizobium japonicum,66,67,47,25,21,17,23,39,161,45,20,57,31,23
,Mesorhizobium loti,89,73,87,27,35,42,61,74,188,80,29,82,73,50
,Mesorhizobium metallidurans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium opportunistum,61,70,45,31,23,26,33,51,154,50,25,64,52,48
,Mesorhizobium plurifarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium temperatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium sp. F28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium sp. WSM1497,6,9,0,6,0,6,8,7,26,5,0,0,8,0
,Nitratireductor,2,1,0,0,0,0,0,0,2,1,0,0,0,0
,Nitratireductor aquibiodomus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nitratireductor basaltis,36,33,21,11,7,11,24,25,80,17,12,32,16,14
,Rhizobiaceae,329,356,293,107,79,96,167,196,758,254,130,244,185,142
,Kaistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Liberibacter,18,14,6,9,0,0,18,14,25,19,2,17,6,0
,Candidatus Liberibacter asiaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Liberibacter solanacearum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Liberibacter crescens,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,Rhizobium/Agrobacterium group,169,178,113,56,39,38,97,119,394,144,53,132,113,78
,Agrobacterium,95,76,52,33,34,33,56,51,148,63,44,65,52,40
,Agrobacterium larrymoorei,32,32,20,7,5,6,19,14,60,23,13,16,12,12
,Agrobacterium rhizogenes,27,16,13,0,0,0,18,5,36,17,7,6,7,20
,Agrobacterium tumefaciens complex,18,18,20,4,8,18,7,18,42,12,6,19,21,17
,Agrobacterium fabrum,38,39,24,9,0,0,15,7,52,25,7,19,9,17
,Agrobacterium tumefaciens,263,233,215,83,54,56,169,133,468,168,92,159,167,135
,Agrobacterium vitis,42,46,37,8,9,6,27,17,65,26,17,25,25,34
,unclassified Agrobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Agrobacterium sp. 33MFTa1.1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,Agrobacterium sp. H13-3,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,Neorhizobium,0,1,0,0,0,1,0,5,0,0,0,0,0,1
,Neorhizobium galegae,97,90,52,33,31,26,75,41,180,73,53,70,73,58
,Rhizobium,406,380,360,141,116,121,194,235,809,295,102,319,254,227
,"environmental samples <a-proteobacteria,genus Rhizobium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhizobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium acidisoli,27,15,10,0,5,11,21,17,41,13,16,8,21,8
,Rhizobium etli,87,124,84,30,31,29,59,62,202,82,46,59,74,56
,Rhizobium favelukesii,61,68,40,22,14,14,25,30,120,44,16,37,34,29
,Rhizobium flavum,19,21,6,5,0,6,21,0,26,15,9,0,0,12
,Rhizobium gallicum,80,60,47,21,13,17,35,31,132,40,21,36,38,25
,Rhizobium jaguaris,71,56,62,23,12,25,30,47,121,42,24,65,37,33
,Rhizobium leguminosarum,371,356,294,107,91,82,233,206,644,290,136,242,182,150
,Rhizobium marinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium phaseoli,56,57,53,19,11,16,37,35,95,41,28,41,35,31
,Rhizobium pusense,0,0,0,0,0,0,6,0,5,0,0,0,0,0
,Rhizobium selenitireducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium skierniewicense,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium tropici,64,50,44,25,6,7,30,31,103,40,18,35,33,26
,Rhizobium undicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium sp.,0,6,0,0,0,0,0,0,11,0,0,0,0,0
,Rhizobium sp. ACO-34A,65,58,42,14,7,17,41,26,134,52,12,39,39,21
,Rhizobium sp. IE4771,5,12,0,0,0,0,7,0,24,5,0,5,0,5
,Rhizobium sp. IRBG74,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,Rhizobium sp. Khangiran2,17,11,7,5,0,6,8,11,29,19,5,12,0,7
,Rhizobium sp. Q54,50,44,48,10,8,6,30,24,100,32,9,41,37,20
,Rhizobium sp. TCK,12,5,0,0,0,0,0,5,11,0,0,0,0,0
,Shinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Shinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Shinella sp. HZN7,117,84,85,43,31,42,62,73,210,85,25,84,68,55
,Sinorhizobium/Ensifer group,48,52,37,18,11,13,14,20,119,29,26,46,25,15
,Ensifer,4,2,0,1,3,3,0,0,7,3,2,4,0,0
,Ensifer adhaerens,148,163,120,44,35,40,72,81,305,112,33,104,81,63
,Ensifer sojae,75,58,57,13,6,14,42,29,105,49,22,48,44,33
,unclassified Ensifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ensifer sp. BR816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium,172,140,111,47,45,39,78,103,301,137,41,87,89,41
,"environmental samples <a-proteobacteria,genus Sinorhizobium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Sinorhizobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium americanum,70,50,46,17,9,19,32,32,92,39,21,54,39,32
,Sinorhizobium fredii group,0,0,0,0,0,0,1,0,1,0,0,0,1,0
,Sinorhizobium fredii,255,215,179,66,47,69,126,150,429,173,72,159,121,117
,Sinorhizobium medicae,44,39,38,18,13,9,39,17,83,34,26,36,23,33
,Sinorhizobium meliloti,207,192,144,75,44,54,119,122,400,144,65,125,109,93
,unclassified Sinorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium sp. CCBAU 05631,8,5,6,0,0,0,7,0,15,5,0,0,0,0
,Sinorhizobium sp. M14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,arsenite-oxidising bacterium NT-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobiales incertae sedis,9,2,8,1,1,4,3,8,8,2,1,2,4,1
,Candidatus Hodgkinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Hodgkinia cicadicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hartmannibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hartmannibacter diazotrophicus,183,117,123,58,42,53,69,76,309,134,29,116,69,65
,Methyloceanibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methyloceanibacter caenitepidi,1267,687,1116,311,201,199,218,758,2580,551,153,1107,455,469
,Pseudorhodoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudorhodoplanes sinuspersici,280,325,306,139,57,113,97,265,1688,317,42,296,231,121
,Rhodobiaceae,3,4,3,1,0,0,0,2,8,3,1,5,1,6
,Afifella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Afifella pfennigii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Phaeomarinobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Phaeomarinobacter ectocarpi,91,49,38,12,9,0,35,16,48,27,20,19,14,16
,"environmental samples <a-proteobacteria,family Rhodobiaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodobiaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parvibaculum,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parvibaculum lavamentivorans,119,83,101,44,34,45,52,81,290,80,32,118,85,86
,Rhodobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodobium gokarnense,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xanthobacteraceae,48,31,26,12,10,14,15,44,104,38,8,37,32,22
,Azorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Azorhizobium caulinodans,170,150,122,62,59,62,68,113,341,136,42,127,132,86
,Pseudolabrys,3,4,6,4,1,2,1,0,0,4,0,9,4,4
,"environmental samples <a-proteobacteria,genus Pseudolabrys>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Pseudolabrys sp.,7,0,0,0,0,0,0,6,26,0,0,0,0,0
,Pseudolabrys taiwanensis,442,300,359,140,165,164,131,420,1120,365,87,574,406,327
,Starkeya,1,1,0,0,0,0,0,1,0,1,0,0,2,0
,Starkeya novella,272,231,220,96,69,81,86,188,608,244,59,179,214,130
,unclassified Starkeya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Starkeya sp. SL25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xanthobacter,1,1,3,2,0,3,0,1,5,3,2,0,1,2
,Xanthobacter autotrophicus,204,148,171,68,46,44,101,126,397,167,47,145,131,100
,Xanthobacter flavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodobacterales,16,10,10,1,5,3,4,6,18,4,1,11,6,7
,"environmental samples <a-proteobacteria,order Rhodobacterales>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodobacterales bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyphomonadaceae,1,3,8,0,0,15,7,7,7,4,0,1,2,6
,Glycocaulis,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Glycocaulis alkaliphilus,47,31,30,10,10,5,23,25,57,25,12,42,20,22
,Hirschia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hirschia baltica,10,0,0,0,0,0,0,0,0,5,7,0,0,7
,Hyphomonas,1,0,0,1,0,0,2,0,2,0,0,0,1,0
,Hyphomonas neptunium,44,34,26,6,9,0,13,0,52,28,12,15,25,8
,Maricaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maricaulis maris,42,28,29,9,5,0,26,18,68,23,11,23,23,18
,Rhodobacteraceae,268,290,260,95,116,97,171,179,558,204,132,206,165,148
,Antarctobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Antarctobacter heliothermus,23,21,13,7,9,0,16,5,38,6,13,0,7,10
,Brevirhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brevirhabdus pacifica,45,39,35,16,11,21,37,18,76,29,12,26,24,19
,Celeribacter,4,11,1,4,7,8,0,7,1,14,1,5,6,2
,Celeribacter baekdonensis,20,8,9,0,0,0,17,0,22,0,7,9,5,13
,Celeribacter indicus,61,35,43,23,12,14,37,23,93,20,16,35,40,26
,Celeribacter manganoxidans,28,20,21,6,0,7,23,8,54,17,13,10,16,16
,Celeribacter marinus,5,0,6,0,0,0,5,6,11,0,5,0,5,0
,Defluviimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Defluviimonas alba,46,49,44,14,5,5,25,21,98,27,26,32,22,24
,Dinoroseobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dinoroseobacter shibae,43,31,21,11,6,6,20,15,65,30,13,24,25,25
,Epibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Epibacterium mobile,22,23,8,5,6,0,15,8,39,13,11,5,12,5
,Haematobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haematobacter massiliensis,43,38,26,0,5,0,35,11,65,25,29,24,29,13
,Halocynthiibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Halocynthiibacter arcticus,12,13,10,6,0,0,12,8,11,0,9,0,0,5
,Jannaschia,1,0,0,0,0,0,0,0,2,1,1,1,0,0
,unclassified Jannaschia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jannaschia sp. CCS1,23,24,14,8,0,7,11,0,31,13,7,5,12,6
,Ketogulonicigenium,0,3,3,4,4,5,0,3,1,8,0,1,6,7
,Ketogulonicigenium robustum,21,11,6,0,8,0,21,6,18,0,6,13,8,10
,Ketogulonicigenium vulgare,15,5,15,5,0,0,17,11,20,15,10,15,8,6
,Labrenzia,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,Labrenzia aggregata,49,45,37,13,10,13,35,31,85,44,18,31,36,24
,Leisingera,4,2,3,0,0,7,1,4,5,1,0,0,0,3
,Leisingera aquaemixtae,31,25,19,9,8,10,24,23,69,20,18,24,22,16
,Leisingera methylohalidivorans,31,34,14,17,6,0,28,10,39,18,10,13,13,12
,Loktanella,0,1,2,4,4,4,0,6,0,0,1,0,4,3
,Loktanella salsilacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marinovum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marinovum algicola,45,53,39,11,7,12,51,27,66,34,16,33,29,33
,Octadecabacter,7,5,10,8,6,5,4,8,2,9,3,7,12,8
,Octadecabacter antarcticus,15,16,0,0,0,0,10,7,22,6,9,0,11,0
,Octadecabacter arcticus,10,19,6,0,0,0,5,0,19,5,14,0,0,0
,Octadecabacter temperatus,0,0,0,0,0,0,0,0,9,5,0,0,0,5
,Pannonibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pannonibacter phragmitetus,141,95,97,46,24,46,60,56,241,102,30,82,67,58
,Paracoccus,81,53,52,21,28,41,47,43,136,45,35,35,41,43
,Paracoccus aminophilus,34,25,28,8,5,6,31,13,41,24,16,23,30,21
,Paracoccus aminovorans,40,44,37,9,11,18,39,22,64,45,30,21,28,22
,Paracoccus denitrificans,55,39,39,14,11,12,45,39,97,43,28,39,23,23
,Paracoccus kondratievae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus marcusii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus mutanolyticus,0,5,5,0,0,0,11,0,8,0,14,0,0,0
,Paracoccus pantotrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus yeei,41,33,35,10,10,5,22,24,66,26,17,32,34,14
,Paracoccus zhejiangensis,59,45,37,16,13,12,47,32,78,34,26,53,23,13
,unclassified Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus sp. BM15,20,19,13,7,0,0,13,24,37,18,8,9,12,5
,Paracoccus sp. SY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibaca abyssi,69,41,34,12,5,8,43,25,97,31,17,35,19,17
,Phaeobacter,30,37,25,12,14,15,12,27,48,31,16,23,16,23
,Phaeobacter gallaeciensis,40,45,8,11,11,5,32,18,38,20,16,17,20,12
,Phaeobacter inhibens,40,31,22,16,6,5,26,11,59,27,17,34,25,26
,Phaeobacter piscinae,14,5,10,0,0,0,11,0,15,8,0,0,7,0
,unclassified Phaeobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeobacter sp. LSS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Planktomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Planktomarina temperata,9,0,6,6,0,0,11,0,18,0,5,0,5,0
,Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,unclassified Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudovibrio sp. FO-BEG1,13,15,11,8,0,5,15,0,29,0,20,10,11,0
,Rhodobaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodobaca barguzinensis,20,22,10,0,0,0,23,5,28,16,8,17,10,7
,Rhodobacter,17,15,8,2,11,11,6,6,33,10,4,8,8,4
,Rhodobacter blasticus,46,47,19,7,0,18,36,11,51,26,21,27,20,13
,Rhodobacter capsulatus,41,45,28,12,8,8,37,19,62,21,20,23,27,24
,Rhodobacter sphaeroides,283,259,205,50,65,73,174,114,462,170,102,179,131,137
,Rhodovulum,20,13,14,4,6,9,8,9,42,15,3,16,8,10
,Rhodovulum sulfidophilum,41,40,55,11,0,17,31,24,70,26,40,27,29,23
,unclassified Rhodovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodovulum sp. MB263,31,29,21,9,7,6,10,15,59,25,13,22,14,21
,Rhodovulum sp. P5,40,34,22,8,7,8,22,22,58,23,25,26,13,26
,Roseibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Roseibacterium elongatum,30,33,30,17,8,14,39,17,53,30,14,22,15,20
,Roseobacter,6,0,5,0,3,5,0,1,9,10,7,2,8,1
,Roseobacter denitrificans,14,12,7,7,10,0,15,5,20,7,0,11,9,0
,Roseobacter litoralis,6,10,10,7,0,0,6,5,14,0,8,6,0,11
,Roseovarius,0,0,0,0,0,0,0,0,1,0,0,0,0,2
,Roseovarius mucosus,30,19,14,0,0,0,17,6,31,18,7,18,14,15
,Ruegeria,8,2,13,3,3,9,0,1,4,8,2,5,3,9
,Ruegeria pomeroyi,44,39,30,10,10,0,28,11,69,30,11,18,13,14
,unclassified Ruegeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ruegeria sp. PR1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ruegeria sp. TM1040,10,13,0,0,0,0,14,7,15,0,14,5,7,0
,Salipiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salipiger profundus,68,54,48,20,8,19,37,30,100,57,22,33,33,28
,Sulfitobacter,9,14,19,8,9,13,8,11,2,22,5,11,18,24
,Sulfitobacter pseudonitzschiae,20,26,14,0,0,0,21,8,36,13,10,15,10,6
,unclassified Sulfitobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfitobacter sp. BSw21498,0,6,0,0,0,0,0,10,17,0,0,0,0,0
,Sulfitobacter sp. SK011,13,5,0,0,0,0,12,0,13,0,8,6,5,0
,Sulfitobacter sp. SK012,6,0,0,0,0,0,0,0,13,0,0,0,0,5
,Sulfitobacter sp. SK025,14,10,6,0,0,0,14,6,10,0,14,8,6,0
,Tateyamaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tateyamaria omphalii,35,13,7,7,0,0,15,16,39,14,17,11,10,5
,Thioclava,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thioclava dalianensis,0,0,0,0,0,0,7,0,0,0,12,0,0,0
,Yangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yangia pacifica,59,48,36,15,32,14,49,23,92,38,31,43,33,31
,Yoonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yoonia vestfoldensis,25,24,10,0,0,0,18,7,39,13,7,10,5,8
,Rhodospirillales,99,91,85,31,22,25,56,51,180,85,48,72,51,60
,Acetobacteraceae,87,53,53,23,38,47,50,44,105,68,25,54,52,49
,Acetobacter,31,30,23,12,11,8,21,11,34,29,19,32,33,21
,Acetobacter ascendens,8,0,0,0,0,0,7,0,0,0,0,0,0,0
,Acetobacter ghanensis,8,0,5,0,0,0,6,0,8,0,0,0,0,0
,Acetobacter orientalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acetobacter pasteurianus,16,8,11,0,0,0,17,5,13,9,7,0,0,5
,Acetobacter persici,6,0,0,0,0,0,6,5,0,0,6,0,0,0
,Acetobacter pomorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acetobacter senegalensis,0,0,0,0,5,0,5,0,0,0,0,0,0,0
,Acetobacter subgen. Acetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acetobacter aceti,28,12,13,7,0,0,14,6,26,13,13,5,0,0
,Acetobacter tropicalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidiphilium,95,72,59,28,25,34,61,57,126,68,40,56,41,45
,Acidiphilium cryptum,6,11,6,0,0,0,9,0,7,0,8,0,5,0
,Acidiphilium multivorum,21,12,32,5,5,5,15,7,48,11,13,7,0,6
,Acidocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Acidocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidocella sp. GS19h,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidomonas methanolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Asaia,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Asaia bogorensis,11,10,6,0,0,0,14,0,20,12,0,6,7,0
,Gluconacetobacter,2,2,0,0,0,0,2,2,1,0,0,0,1,2
,Gluconacetobacter diazotrophicus,48,47,31,14,14,11,37,19,68,20,39,25,29,32
,Gluconobacter,3,4,10,3,2,0,3,7,11,8,4,11,10,10
,Gluconobacter albidus,18,7,5,0,0,0,5,7,18,0,0,0,0,8
,Gluconobacter oxydans,22,31,14,8,5,0,19,13,43,21,15,13,10,0
,Granulibacter,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,Granulibacter bethesdensis,72,40,44,12,8,13,31,20,70,30,28,39,27,35
,Komagataeibacter,51,51,40,24,28,31,51,40,58,42,33,38,43,34
,Komagataeibacter europaeus,6,6,6,0,0,0,7,0,15,0,0,11,0,5
,Komagataeibacter maltaceti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Komagataeibacter medellinensis,9,10,0,0,0,0,19,0,16,11,5,11,0,0
,Komagataeibacter nataicola,14,17,9,0,0,0,10,0,17,0,5,0,5,9
,Komagataeibacter saccharivorans,18,23,6,0,5,0,8,5,26,0,5,8,0,5
,Komagataeibacter xylinus,37,27,28,10,9,5,23,18,45,18,12,16,13,12
,Kozakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kozakia baliensis,22,18,16,6,6,0,11,7,36,10,13,19,10,5
,Neoasaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neoasaia chiangmaiensis,27,17,15,0,0,0,15,7,37,0,9,0,17,0
,Neokomagataea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neokomagataea tanensis,0,0,6,0,0,0,7,0,0,0,0,0,0,0
,Parasaccharibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parasaccharibacter apium,10,14,0,0,0,0,16,0,6,0,6,0,0,5
,Roseomonas,44,35,30,8,17,8,45,20,61,32,21,18,28,20
,Roseomonas gilardii,67,45,45,17,10,8,39,31,99,37,17,41,19,19
,Roseomonas mucosa,43,55,55,15,10,13,43,24,99,36,20,24,32,30
,Stella,40,35,40,10,9,18,21,32,78,33,12,20,23,21
,Stella humosa,156,130,119,56,45,72,78,71,260,114,59,100,65,71
