,,Depth (cm),,,,,,,,,,,
,Youhaiella,0,0,0,0,0,0,0,0,0,0,0,0
,Youhaiella tibetensis,37,44,8,12,100,345,15,16,0,23,11,36
,Methylobacteriaceae,3,1,0,2,0,3,0,1,0,0,0,0
,Methylobacterium,177,341,147,98,205,1266,616,301,138,122,40,129
,Methylobacterium aquaticum,43,75,10,18,67,252,35,23,0,12,8,17
,Methylobacterium brachiatum,23,47,0,13,28,163,37,18,0,0,0,5
,Methylobacterium nodulans,44,69,14,25,31,172,26,14,0,0,0,7
,Methylobacterium oryzae,0,0,0,0,0,5,0,0,0,0,0,0
,Methylobacterium phyllosphaerae,0,0,0,0,0,41,20,0,0,0,0,0
,Methylobacterium radiotolerans,0,14,0,0,0,30,0,0,0,0,0,0
,unclassified Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Methylobacterium sp. 4-46,49,89,7,28,21,165,26,19,7,10,5,16
,Methylobacterium sp. AMS5,5,15,0,5,12,43,0,0,0,0,0,0
,Methylobacterium sp. C1,0,6,0,0,0,13,7,0,0,0,0,0
,Methylobacterium sp. XJLW,0,0,0,0,0,32,0,0,0,0,0,0
,Methylorubrum,0,0,0,0,0,0,0,0,0,0,0,0
,Methylorubrum extorquens,34,75,14,14,34,206,50,56,15,27,0,8
,Methylorubrum populi,50,76,9,23,46,222,43,32,7,16,10,18
,Methylorubrum zatmanii,0,0,0,0,0,8,0,0,0,5,0,5
,Methylocystaceae,3,5,8,6,7,9,0,5,3,1,1,5
,Methylocystis,9,16,6,13,21,49,12,10,8,7,10,7
,Methylocystis bryophila,16,43,0,14,81,185,11,6,0,5,0,12
,Methylocystis rosea,21,19,0,0,47,133,10,5,0,22,0,7
,unclassified Methylocystis,0,0,0,0,0,0,0,0,0,0,0,0
,Methylocystis sp. SC2,7,22,5,6,47,123,8,12,0,0,0,12
,Methylosinus,0,0,0,0,0,1,0,0,0,0,0,0
,Methylosinus trichosporium,27,52,0,0,66,178,26,8,0,15,7,8
,Phyllobacteriaceae,11,24,6,5,17,76,15,11,12,15,3,14
,Aminobacter,6,5,9,6,12,27,3,3,5,7,0,11
,Aminobacter aminovorans,30,54,6,22,123,345,29,25,0,20,9,23
,unclassified Aminobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Aminobacter sp. MSH1,31,54,11,12,49,194,39,31,0,25,5,16
,Chelativorans,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Chelativorans,0,0,0,0,0,0,0,0,0,0,0,0
,Chelativorans sp. BNC1,37,34,5,7,41,168,20,17,0,19,24,61
,Mesorhizobium,105,200,75,58,237,686,140,90,55,70,21,99
,Mesorhizobium amorphae,35,58,14,20,60,169,23,15,0,23,9,32
,Mesorhizobium australicum,15,46,8,5,58,191,21,23,8,24,6,18
,Mesorhizobium ciceri,6,11,0,0,24,66,12,0,0,0,5,0
,Mesorhizobium huakuii,0,5,6,0,5,60,0,0,0,0,0,0
,Mesorhizobium japonicum,21,30,15,8,30,130,18,6,0,18,7,11
,Mesorhizobium loti,42,54,13,23,53,207,28,23,14,27,7,41
,Mesorhizobium mediterraneum,0,0,0,0,0,8,0,0,0,0,0,0
,Mesorhizobium opportunistum,26,44,0,16,26,188,31,5,10,12,0,15
,Mesorhizobium septentrionale,0,0,0,0,0,6,0,0,0,0,0,0
,unclassified Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0
,Mesorhizobium sp. MM5336,0,0,0,0,0,5,0,0,0,0,0,0
,Mesorhizobium sp. WSM1497,0,5,0,0,7,41,0,0,0,0,0,5
,Nitratireductor,0,1,0,0,0,3,0,0,0,0,0,0
,Nitratireductor basaltis,26,32,0,20,97,326,17,6,0,56,7,48
,Phyllobacterium,0,0,0,0,0,5,0,0,0,0,0,0
,Rhizobiaceae,94,178,40,59,219,818,93,65,22,57,13,87
,Liberibacter,10,18,0,6,12,29,19,18,0,12,5,8
,Candidatus Liberibacter africanus,0,0,0,0,10,32,0,0,0,0,14,34
,Candidatus Liberibacter americanus,0,8,0,0,22,51,0,6,0,36,0,6
,Candidatus Liberibacter asiaticus,6,5,0,0,12,43,0,0,0,0,6,7
,Candidatus Liberibacter solanacearum,0,0,0,0,15,82,0,0,0,10,0,12
,Liberibacter crescens,0,0,0,0,19,87,0,0,0,20,20,51
,Rhizobium/Agrobacterium group,64,96,24,28,229,818,71,85,7,64,37,184
,Agrobacterium,40,57,23,25,106,451,64,79,12,60,16,58
,Agrobacterium deltaense,0,0,0,0,0,6,0,0,0,0,0,0
,Agrobacterium larrymoorei,13,26,0,0,74,204,9,16,0,16,9,16
,Agrobacterium rhizogenes,8,9,0,0,16,82,7,0,0,0,0,17
,Agrobacterium tumefaciens complex,9,13,8,7,29,143,21,25,0,9,4,15
,Agrobacterium fabrum,17,29,0,6,15,116,0,13,0,22,7,9
,Agrobacterium tumefaciens,124,199,34,49,301,1314,271,269,17,135,65,303
,Agrobacterium vitis,17,39,0,10,84,357,11,22,0,18,9,23
,unclassified Agrobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Agrobacterium sp. 33MFTa1.1,0,0,0,0,11,35,0,0,0,0,0,0
,Agrobacterium sp. H13-3,0,5,0,0,0,21,0,0,0,0,0,0
,Neorhizobium,0,1,0,0,0,0,0,0,0,0,0,0
,Neorhizobium galegae,36,48,7,15,82,298,28,23,0,20,6,33
,Rhizobium,141,179,76,79,330,957,119,107,28,91,39,115
,Rhizobium acidisoli,0,5,0,0,14,61,0,5,0,0,0,0
,Rhizobium endophyticum,0,0,0,0,0,13,0,0,0,0,0,0
,Rhizobium etli,40,84,11,18,96,300,42,33,0,46,7,54
,Rhizobium favelukesii,18,33,0,10,46,210,18,16,0,20,7,18
,Rhizobium flavum,5,22,0,0,0,31,6,0,0,0,0,5
,Rhizobium gallicum,20,40,0,12,38,232,17,13,0,23,19,96
,Rhizobium jaguaris,17,40,0,8,36,202,10,9,0,0,6,27
,Rhizobium leguminosarum,116,213,20,57,230,775,76,69,13,89,28,121
,Rhizobium lemnae,0,0,0,0,0,9,0,0,0,0,0,0
,Rhizobium phaseoli,16,37,0,10,52,140,17,14,0,22,6,21
,Rhizobium pusense,0,0,0,0,0,5,0,0,0,0,0,0
,Rhizobium selenitireducens,0,0,0,0,0,8,0,0,0,0,0,0
,Rhizobium tropici,26,33,0,6,27,118,13,14,0,23,8,27
,Rhizobium undicola,0,0,0,0,0,8,0,0,0,0,0,0
,unclassified Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium sp.,0,0,0,0,0,18,0,0,0,0,0,0
,Rhizobium sp. ACO-34A,13,33,0,11,81,208,15,7,0,23,5,14
,Rhizobium sp. IE4771,0,9,0,0,0,26,6,0,0,0,0,0
,Rhizobium sp. IRBG74,0,0,0,0,0,14,0,0,0,0,0,0
,Rhizobium sp. Khangiran2,8,8,0,0,11,78,5,0,0,17,0,8
,Rhizobium sp. Q54,20,50,0,12,25,115,14,6,0,24,7,21
,Rhizobium sp. TCK,0,0,0,0,0,44,0,0,0,0,0,0
,Shinella,1,0,0,0,29,40,0,1,0,0,1,0
,unclassified Shinella,0,0,0,0,0,0,0,0,0,0,0,0
,Shinella sp. HZN7,37,63,7,13,76,259,28,35,6,16,7,17
,Sinorhizobium/Ensifer group,14,19,0,6,22,63,16,1,2,9,3,8
,Ensifer,2,1,5,1,0,9,1,5,1,4,4,6
,Ensifer adhaerens,39,86,14,31,127,467,39,28,11,27,18,74
,Ensifer sojae,26,32,5,12,41,127,20,8,0,10,0,15
,Sinorhizobium,43,112,21,32,86,290,39,35,5,29,9,46
,Sinorhizobium americanum,21,24,0,0,16,72,9,8,5,0,0,7
,Sinorhizobium fredii group,1,0,0,0,1,0,2,0,0,0,0,0
,Sinorhizobium fredii,89,152,33,40,149,513,64,50,0,75,13,70
,Sinorhizobium medicae,23,30,0,5,26,157,10,6,0,56,10,25
,Sinorhizobium meliloti,79,123,9,37,68,320,52,31,5,42,10,36
,unclassified Sinorhizobium,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium sp. CCBAU 05631,0,0,0,0,17,37,0,0,0,0,0,0
,Rhodobiaceae,2,2,0,1,2,7,1,1,0,0,0,2
,Candidatus Phaeomarinobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Phaeomarinobacter ectocarpi,25,32,0,8,113,547,9,16,0,25,11,37
,Parvibaculum,0,0,0,0,10,4,0,1,0,0,0,2
,Parvibaculum indicum,0,0,0,0,7,8,0,0,0,0,0,0
,Parvibaculum lavamentivorans,39,57,5,6,101,279,37,17,0,8,11,23
,Rhodobium,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodobium sp. MGS3-3,0,0,0,0,5,0,0,0,0,0,0,0
,unclassified Rhizobiales,5,4,1,0,1,2,1,1,0,5,1,0
,Candidatus Hodgkinia,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Hodgkinia cicadicola,0,5,0,0,0,15,5,0,0,0,0,17
,Hartmannibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Hartmannibacter diazotrophicus,36,79,11,26,80,322,40,30,5,29,0,36
,Methyloceanibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Methyloceanibacter caenitepidi,96,135,18,22,68,265,61,31,14,22,5,26
,Pseudorhodoplanes,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudorhodoplanes sinuspersici,33,78,8,13,113,320,39,29,7,12,11,22
,Xanthobacteraceae,2,4,9,7,6,30,4,2,10,10,4,3
,Azorhizobium,0,0,0,0,0,1,0,0,0,0,0,0
,Azorhizobium caulinodans,34,61,21,21,56,244,33,28,0,9,8,19
,Pseudolabrys,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudolabrys taiwanensis,56,92,16,13,107,339,28,22,8,12,12,29
,Starkeya,1,1,0,0,0,2,0,0,0,0,0,1
,Starkeya novella,47,63,10,14,51,197,43,14,0,15,10,18
,Xanthobacter,1,1,0,0,0,0,0,0,0,0,0,0
,Xanthobacter autotrophicus,53,72,17,15,96,286,37,27,0,9,0,26
,Rhodobacterales,8,13,7,3,35,124,3,0,3,42,15,39
,"environmental samples <a-proteobacteria,order Rhodobacterales>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodobacterales bacterium,0,0,0,0,0,22,0,0,0,0,0,0
,Hyphomonadaceae,5,0,6,13,2,8,9,9,3,4,9,3
,Glycocaulis,0,0,0,0,1,0,0,0,0,0,0,0
,Glycocaulis alkaliphilus,21,45,0,5,76,234,9,0,0,23,32,27
,Hirschia,0,0,0,0,0,0,1,0,0,0,0,0
,Hirschia baltica,0,15,0,0,31,233,7,23,0,47,17,76
,Hyphomonas,0,2,0,0,4,8,1,0,0,0,0,1
,Hyphomonas neptunium,20,27,6,0,40,175,16,0,0,9,9,24
,Maricaulis,0,0,0,0,0,0,0,0,0,0,0,0
,Maricaulis maris,18,54,6,11,96,469,15,17,6,15,2911,1034
,Rhodobacteraceae,216,543,245,200,1715,10056,228,295,69,10789,1132,8318
,Ahrensia,0,0,0,0,0,11,0,0,0,0,0,0
,Ahrensia kielensis,0,0,0,0,0,44,0,0,0,0,0,0
,Antarctobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Antarctobacter heliothermus,21,50,6,10,174,667,13,22,0,564,60,442
,Brevirhabdus,0,0,0,0,0,0,0,0,0,0,0,0
,Brevirhabdus pacifica,25,53,10,8,106,429,15,23,0,193,20,178
,Celeribacter,7,1,8,5,7,27,6,7,7,19,2,25
,Celeribacter baekdonensis,15,35,11,8,141,690,0,14,0,598,77,454
,Celeribacter indicus,33,35,14,9,56,236,30,7,0,133,11,113
,Celeribacter manganoxidans,15,33,0,7,112,462,17,6,0,348,23,293
,Celeribacter marinus,11,32,0,6,161,752,7,19,0,625,68,509
,Defluviimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Defluviimonas alba,26,54,5,6,58,270,26,21,0,204,23,173
,Dinoroseobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Dinoroseobacter shibae,21,47,7,12,101,526,26,12,0,211,26,163
,"environmental samples <a-proteobacteria,family Rhodobacteraceae>",0,0,0,0,0,2,0,0,0,0,0,0
,uncultured Rhodobacteraceae bacterium,0,0,0,0,0,24,0,0,0,0,0,6
,Epibacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Epibacterium mobile,31,63,0,12,107,761,20,20,0,572,105,481
,Haematobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Haematobacter massiliensis,63,71,48,9,54,235,33,14,0,86,13,85
,Halocynthiibacter,0,0,0,0,0,0,0,0,0,1,0,0
,Halocynthiibacter arcticus,5,28,0,8,108,787,8,8,0,325,52,250
,Jannaschia,0,1,0,0,0,2,0,0,0,0,0,0
,unclassified Jannaschia,0,0,0,0,0,0,0,0,0,0,0,0
,Jannaschia sp. CCS1,19,37,0,7,84,451,14,22,0,284,36,191
,Ketogulonicigenium,0,4,0,0,3,48,1,4,0,8,4,14
,Ketogulonicigenium robustum,5,18,0,0,86,402,6,8,0,161,12,126
,Ketogulonicigenium vulgare,12,22,0,0,78,328,10,17,0,188,25,151
,Labrenzia,0,0,0,0,0,0,0,0,0,0,0,1
,Labrenzia aggregata,29,56,0,22,170,617,17,29,5,70,18,81
,Leisingera,4,5,0,6,24,79,2,1,0,33,11,29
,Leisingera aquaemixtae,18,55,13,8,127,601,19,25,0,410,71,319
,Leisingera methylohalidivorans,15,53,10,19,145,713,26,31,0,549,83,408
,Limimaricola,0,0,0,0,0,0,0,0,0,0,0,0
,Limimaricola cinnabarinus,0,0,0,0,0,0,0,0,0,7,0,13
,Loktanella,0,1,5,5,2,16,0,0,0,11,6,1
,unclassified Loktanella,0,0,0,0,0,0,0,0,0,0,0,0
,Loktanella sp. NP29,0,0,0,0,0,0,0,0,0,0,0,5
,Marinovum,0,0,0,0,0,0,0,0,0,0,0,0
,Marinovum algicola,32,81,5,20,118,490,31,30,0,355,52,331
,Octadecabacter,11,5,3,13,33,185,11,11,10,181,23,112
,Octadecabacter antarcticus,7,40,0,0,187,976,8,18,0,878,70,582
,Octadecabacter arcticus,5,51,8,7,184,1053,7,28,0,1298,149,1106
,Octadecabacter temperatus,5,26,6,0,104,740,7,12,0,419,102,272
,Pannonibacter,1,0,0,0,0,0,0,0,0,0,0,0
,Pannonibacter phragmitetus,47,76,8,11,198,544,40,27,0,43,14,91
,Paracoccus,47,85,64,29,46,324,52,33,21,126,28,100
,Paracoccus aminophilus,18,24,9,0,67,291,17,13,0,143,22,91
,Paracoccus aminovorans,23,32,46,10,39,197,20,10,0,108,7,103
,Paracoccus denitrificans,15,45,23,9,54,186,23,27,0,116,17,106
,Paracoccus marcusii,0,0,5,0,0,7,0,5,0,0,0,0
,Paracoccus mutanolyticus,0,0,0,0,20,85,0,0,0,0,0,5
,Paracoccus yeei,28,50,76,11,57,191,39,25,0,65,22,89
,Paracoccus zhejiangensis,31,35,22,17,77,284,23,17,0,137,22,128
,unclassified Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus sp.,0,0,0,0,0,7,0,0,0,0,0,0
,Paracoccus sp. BM15,13,41,11,10,128,394,6,22,0,514,48,436
,Pelagibaca,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibaca abyssi,21,70,9,18,89,348,17,24,0,257,30,230
,Phaeobacter,39,74,19,21,202,1385,30,30,6,1040,168,694
,Phaeobacter gallaeciensis,39,73,11,19,206,1113,23,46,0,891,158,694
,Phaeobacter inhibens,39,83,11,16,192,1072,33,31,6,896,151,711
,Phaeobacter piscinae,8,22,5,5,70,483,11,12,0,264,48,204
,unclassified Phaeobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeobacter sp. LSS9,0,0,0,0,10,89,0,0,0,63,12,40
,Planktomarina,0,0,0,0,0,0,0,0,0,0,0,0
,Planktomarina temperata,33,120,39,19,173,746,72,75,27,946,79,748
,Pseudophaeobacter,0,0,0,0,0,0,0,0,0,0,6,0
,Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudovibrio sp. FO-BEG1,18,30,0,7,97,576,13,20,0,55,31,87
,Rhodobaca,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodobaca barguzinensis,10,24,0,0,88,416,9,9,0,261,37,223
,Rhodobacter,6,13,16,4,7,55,6,2,9,30,4,24
,Rhodobacter blasticus,25,47,6,5,94,408,28,21,0,214,20,165
,Rhodobacter capsulatus,18,40,9,11,82,255,12,20,0,148,14,131
,Rhodobacter johrii,0,0,0,0,0,0,0,0,0,5,0,0
,Rhodobacter sphaeroides,104,189,81,56,173,775,82,48,16,292,39,253
,Rhodobacter veldkampii,0,0,0,0,0,8,0,0,0,0,0,0
,Rhodovulum,15,24,14,23,17,88,11,6,6,44,8,38
,Rhodovulum sulfidophilum,40,36,6,5,52,224,18,21,0,110,27,112
,unclassified Rhodovulum,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodovulum sp. MB263,20,22,7,0,33,109,15,6,0,68,13,62
,Rhodovulum sp. P5,33,49,6,6,80,413,28,24,0,277,36,226
,Roseibacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Roseibacterium elongatum,15,44,0,0,84,370,16,7,0,220,26,163
,Roseobacter,3,16,1,7,36,281,4,13,6,307,26,217
,"environmental samples <a-proteobacteria,genus Roseobacter>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Roseobacter sp.,0,0,0,0,0,8,0,0,0,0,0,0
,Roseobacter denitrificans,17,44,8,9,92,794,6,9,0,813,80,615
,Roseobacter litoralis,19,66,6,6,119,880,13,19,0,965,87,727
,unclassified Roseobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Roseobacter sp. KT1117,0,0,0,0,0,6,0,0,0,0,0,0
,Roseovarius,0,2,0,0,3,9,0,0,0,13,2,12
,Roseovarius mucosus,26,41,7,16,132,711,10,21,0,618,68,387
,Roseovarius tolerans,0,0,0,0,0,5,0,0,0,0,0,0
,Ruegeria,8,6,13,10,17,61,13,5,5,85,15,53
,Ruegeria atlantica,0,0,0,0,0,11,0,0,0,10,0,0
,Ruegeria pomeroyi,28,86,8,24,161,793,17,25,0,722,111,599
,unclassified Ruegeria,0,0,0,0,0,0,0,0,0,0,0,0
,Ruegeria sp. PR1b,0,0,0,0,0,8,0,0,0,7,0,0
,Ruegeria sp. TM1040,8,31,0,8,81,382,0,11,0,336,44,266
,Salipiger,0,0,0,0,0,0,0,0,0,0,0,0
,Salipiger profundus,38,55,9,16,57,351,23,20,0,164,17,162
,Sulfitobacter,15,63,15,20,395,2131,16,104,14,5786,373,5054
,"environmental samples <a-proteobacteria,genus Sulfitobacter>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Sulfitobacter sp.,0,0,0,0,7,7,0,0,0,0,0,0
,Sulfitobacter brevis,0,0,0,0,0,5,0,0,0,17,0,9
,Sulfitobacter delicatus,0,0,0,0,0,0,0,0,0,16,0,0
,Sulfitobacter guttiformis,0,0,0,0,0,20,0,0,0,28,0,31
,Sulfitobacter indolifex,0,0,0,0,0,9,0,0,0,9,0,21
,Sulfitobacter mediterraneus,0,0,0,0,0,5,0,0,0,34,0,35
,Sulfitobacter pacificus,0,0,0,0,0,0,0,0,0,7,0,0
,Sulfitobacter pseudonitzschiae,25,53,8,7,275,1540,15,47,0,2757,218,2246
,unclassified Sulfitobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfitobacter sp. BSw21498,11,65,11,14,403,2040,10,76,6,4864,355,4322
,Sulfitobacter sp. Fg 107,0,0,0,0,0,0,0,0,0,5,0,0
,Sulfitobacter sp. SK011,16,94,11,20,317,2698,5,56,0,3627,278,2498
,Sulfitobacter sp. SK012,20,88,12,17,181,2019,22,39,0,2511,222,1521
,Sulfitobacter sp. SK025,13,91,13,19,550,2580,10,99,0,6681,479,5965
,Tateyamaria,0,0,0,0,0,0,0,0,0,0,0,0
,Tateyamaria omphalii,20,61,6,11,156,858,16,18,0,799,56,576
,Thioclava,0,0,0,0,0,6,0,0,0,0,0,0
,Yangia,0,0,0,0,0,0,0,0,0,0,0,0
,Yangia pacifica,26,54,0,14,76,364,22,16,0,199,27,150
,Yoonia,0,0,0,0,0,0,0,0,0,0,0,0
,Yoonia vestfoldensis,20,58,11,15,194,988,7,28,0,1254,109,1139
,Rhodospirillales,49,131,19,48,354,1183,30,58,12,19,22,24
,Acetobacteraceae,41,66,35,38,177,729,42,56,20,50,25,21
,Acetobacter,44,30,14,23,69,279,32,28,8,41,37,95
,Acetobacter ascendens,0,0,0,0,13,57,5,0,0,0,6,6
,Acetobacter ghanensis,0,9,0,0,20,158,0,0,0,0,0,11
,Acetobacter oeni,0,0,0,0,0,11,0,0,0,0,0,0
,Acetobacter orientalis,0,7,0,0,45,253,5,0,0,0,0,8
,Acetobacter pasteurianus,12,34,0,0,47,304,11,5,0,14,25,59
,Acetobacter persici,0,0,5,0,28,132,0,0,0,0,16,35
,Acetobacter pomorum,0,6,0,0,18,94,0,21,0,0,0,9
,Acetobacter senegalensis,0,0,0,0,5,18,0,0,0,0,0,0
,Acetobacter subgen. Acetobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Acetobacter aceti,0,29,0,0,13,138,0,0,0,8,0,22
,Acetobacter tropicalis,0,0,0,0,0,75,0,0,0,28,0,7
,Acidiphilium,27,60,11,25,75,217,24,20,0,14,10,17
,Acidiphilium cryptum,0,6,0,0,0,15,5,0,0,0,0,0
,Acidiphilium multivorum,5,9,0,0,6,21,5,0,0,0,0,0
,Asaia,0,0,0,0,0,0,1,0,0,0,0,0
,Asaia bogorensis,6,16,0,5,38,131,7,7,0,0,0,13
,Gluconacetobacter,0,0,0,0,3,4,0,5,0,0,0,0
,Gluconacetobacter diazotrophicus,17,39,5,5,76,197,15,0,0,15,11,11
,Gluconobacter,5,6,0,3,11,33,16,8,1,6,2,5
,Gluconobacter albidus,5,8,0,0,46,79,0,0,0,0,0,18
,Gluconobacter japonicus,0,0,0,0,0,7,0,0,0,0,0,0
,Gluconobacter oxydans,31,27,7,11,86,321,22,17,5,15,12,34
,Granulibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Granulibacter bethesdensis,34,65,6,11,130,450,23,25,5,27,10,48
,Komagataeibacter,37,65,7,17,107,429,27,34,8,32,22,22
,Komagataeibacter europaeus,0,10,0,0,49,145,5,0,0,0,0,0
,Komagataeibacter medellinensis,5,10,0,0,11,118,5,0,0,0,0,0
,Komagataeibacter nataicola,0,0,0,5,29,102,0,0,0,0,0,0
,Komagataeibacter saccharivorans,8,9,0,0,52,177,0,5,0,7,0,19
,Komagataeibacter xylinus,17,17,7,6,78,207,11,18,0,15,0,20
,Kozakia,0,0,0,0,0,0,0,0,0,0,0,0
,Kozakia baliensis,13,13,0,0,43,209,0,0,0,10,7,30
,Neoasaia,0,0,0,0,0,0,0,0,0,0,0,0
,Neoasaia chiangmaiensis,8,11,0,5,41,141,5,0,0,0,5,5
,Neokomagataea,0,0,0,0,0,0,0,0,0,0,0,0
,Neokomagataea tanensis,7,5,0,0,11,128,0,0,0,0,10,18
,Parasaccharibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Parasaccharibacter apium,11,23,0,0,44,128,5,0,0,0,0,0
,Roseomonas,23,39,7,11,19,76,21,15,7,18,0,9
,Roseomonas aerophila,0,0,0,0,0,0,0,0,0,0,0,8
,Roseomonas gilardii,32,29,6,14,10,93,23,7,0,0,0,8
,Roseomonas mucosa,33,36,20,9,21,112,13,5,0,0,0,15
,Stella,17,34,8,20,32,164,17,14,4,9,1,9
,Stella humosa,79,121,14,53,135,568,39,42,0,6,14,12
,Stella vacuolata,85,164,23,50,126,480,68,43,6,8,5,17
,Swingsia,0,0,0,0,0,0,0,0,0,0,0,0
,Swingsia samuiensis,0,6,0,0,19,103,6,41,0,0,41,82
,"environmental samples <a-proteobacteria,order Rhodospirillales>",0,0,0,0,6,3,0,0,0,0,0,2
,uncultured Rhodospirillales bacterium,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured Rhodospirillales bacterium HF0200_01O14,0,0,0,0,0,31,0,0,0,0,0,0
,uncultured Rhodospirillales bacterium HF4000_24M03,0,0,0,0,12,55,0,0,0,0,0,0
,uncultured Rhodospirillales bacterium HF4000_38H21,0,0,0,0,0,0,0,0,0,0,0,5
,Rhodospirillaceae,53,91,29,39,427,1400,46,79,12,40,30,27
,Azospirillum,235,341,77,135,714,2212,158,139,26,74,57,135
,Azospirillum brasilense,140,217,31,75,321,1252,96,72,8,33,20,47
,Azospirillum humicireducens,14,29,0,0,63,232,7,10,0,5,7,6
,Azospirillum lipoferum,51,97,9,17,159,475,40,40,6,16,13,32
,Azospirillum thiophilum,40,60,5,16,66,264,27,19,0,17,5,16
,unclassified Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Azospirillum sp. M2T2B2,18,34,0,0,79,240,19,16,0,20,7,15
,Azospirillum sp. TSA2s,35,52,0,13,81,297,15,21,0,6,19,36
,Azospirillum sp. TSH100,26,32,0,20,69,313,9,12,0,7,7,13
,Azospirillum sp. TSH58,25,35,0,0,83,211,14,20,0,0,0,18
,Candidatus Endolissoclinum,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endolissoclinum faulkneri,7,16,0,0,21,75,0,13,0,8,8,29
,"environmental samples <a-proteobacteria,family Rhodospirillaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodospirillaceae bacterium,0,0,0,0,63,94,0,5,0,0,0,0
,Ferrovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Ferrovibrio denitrificans,0,0,0,0,0,13,0,0,0,0,0,0
,Haematospirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Haematospirillum jordaniae,9,18,0,0,49,204,6,11,0,14,0,10
,Magnetospira,0,0,0,0,8,19,0,0,0,0,0,0
,Magnetospira sp. QH-2,37,78,8,24,1252,3896,36,113,7,34,71,28
,Magnetospira thiophila,0,0,0,0,0,17,0,0,0,0,0,0
,Magnetospirillum,13,18,3,4,69,224,6,18,4,4,5,1
,Magnetospirillum gryphiswaldense,78,123,16,34,1147,2872,60,123,11,85,95,272
,Magnetospirillum magneticum,71,119,10,33,438,1343,51,69,0,21,17,24
,Magnetospirillum magnetotacticum,0,0,0,0,13,20,0,0,0,0,0,0
,unclassified Magnetospirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Magnetospirillum sp. pMbN1,0,0,0,0,6,31,0,0,0,0,0,0
,Magnetovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Magnetovibrio blakemorei,0,0,0,0,79,132,0,0,0,0,0,0
,Nitrospirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Nitrospirillum amazonense,52,93,14,31,166,583,31,30,0,0,6,15
,Niveispirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Niveispirillum cyanobacteriorum,32,41,6,14,189,654,33,33,0,12,7,22
,Pararhodospirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Pararhodospirillum photometricum,30,58,11,12,375,1031,19,37,0,27,15,14
,Rhodospirillum,3,2,0,3,7,31,0,2,6,0,0,5
,Rhodospirillum centenum,65,106,15,34,120,369,35,30,0,27,10,26
,Rhodospirillum rubrum,38,70,6,26,399,938,24,47,5,29,13,23
,Thalassospira,1,0,0,0,11,46,0,1,0,1,0,1
,"environmental samples <a-proteobacteria,genus Thalassospira>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Thalassospira sp.,0,0,0,0,5,18,0,0,0,0,0,0
,Thalassospira lucentensis,0,0,0,0,5,15,0,0,0,0,0,0
,Thalassospira xiamenensis,28,34,0,8,390,1213,20,37,0,77,32,66
,Tistrella,0,0,0,0,3,5,0,0,0,0,0,0
