,,Depth (cm),,,,,,,,,,,,,
,unclassified Thiomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thiomonas sp. CB2,6,16,12,0,7,0,0,0,9,0,0,0,0,0
,unclassified Burkholderiales (miscellaneous),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Burkholderiales bacterium GJ-E10,32,91,84,35,94,16,0,42,41,26,5,0,9,10
,"environmental samples <b-proteobacteria,class Betaproteobacteria>",0,1,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured beta proteobacterium,5,10,0,6,9,0,0,0,0,0,0,0,0,0
,Neisseriales,3,10,5,3,14,0,0,2,5,2,0,0,1,0
,Chromobacteriaceae,19,42,36,12,32,19,6,16,12,21,20,0,5,4
,Aquitalea,5,13,7,0,2,3,1,4,3,6,0,0,1,2
,Aquitalea magnusonii,35,68,76,15,35,5,6,29,6,9,0,0,7,6
,unclassified Aquitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquitalea sp. THG-DN7.12,43,111,63,28,28,10,6,34,24,10,0,0,6,15
,Chromobacterium group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chromobacterium,13,41,28,9,33,4,7,20,16,15,0,0,6,6
,Chromobacterium vaccinii,26,99,60,29,76,18,0,30,26,16,0,0,13,14
,Chromobacterium violaceum,36,65,68,20,56,8,0,40,23,17,0,0,10,10
,Laribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Laribacter hongkongensis,25,89,64,35,60,5,0,17,23,11,0,0,10,9
,Microvirgula,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Microvirgula aerodenitrificans,44,84,67,29,68,0,7,34,22,7,0,0,5,16
,Pseudogulbenkiania,2,2,0,0,2,0,1,0,3,1,5,0,0,0
,unclassified Pseudogulbenkiania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudogulbenkiania sp. NH8B,39,99,88,30,83,11,5,43,31,33,0,0,6,5
,Vogesella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vogesella sp. LIG4,32,62,58,18,55,11,7,19,14,22,0,0,12,11
,Neisseriaceae,17,24,16,10,23,21,3,24,12,21,16,0,8,10
,Chitinolyticbacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinolyticbacter meiyuanensis,26,74,54,27,54,5,0,28,24,21,0,0,9,12
,Eikenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eikenella corrodens,29,61,54,16,17,0,5,22,8,0,0,0,6,9
,Kingella,0,0,2,0,5,0,0,0,0,0,0,0,0,0
,Kingella kingae,0,20,12,0,6,0,0,0,0,0,0,0,0,0
,Neisseria,91,144,149,62,91,64,23,160,109,75,22,0,32,40
,Neisseria animalis,16,27,17,11,15,5,0,6,0,5,0,0,0,6
,Neisseria animaloris,6,11,9,7,5,0,0,0,0,5,0,0,0,5
,Neisseria canis,0,15,11,8,7,0,5,8,0,0,0,0,0,0
,Neisseria cinerea,6,10,7,0,0,0,0,5,0,0,0,0,0,0
,Neisseria elongata,16,32,26,11,21,5,5,62,16,11,0,0,9,5
,Neisseria flavescens,0,11,5,0,0,0,0,0,0,0,0,0,0,0
,Neisseria gonorrhoeae,11,22,15,5,14,0,0,7,6,7,0,0,0,5
,Neisseria lactamica,0,11,6,0,6,0,0,0,6,0,0,0,0,0
,Neisseria meningitidis,32,69,52,27,36,13,9,18,27,31,0,0,13,17
,Neisseria mucosa,0,16,14,6,14,0,0,60,0,0,0,0,0,0
,Neisseria subflava,0,12,10,0,14,0,0,24,0,0,0,0,0,6
,Neisseria weaveri,10,15,16,9,17,0,0,0,0,0,0,0,0,0
,Neisseria zoodegmatis,5,9,14,0,7,0,0,0,0,5,0,0,0,0
,unclassified Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neisseria sp. KEM232,10,20,21,11,29,0,5,15,14,6,0,0,0,6
,Neisseria sp. oral taxon 014,7,15,7,5,9,0,0,0,0,0,0,0,0,0
,Simonsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Simonsiella muelleri,5,12,6,0,5,0,0,0,0,0,0,0,0,0
,Snodgrassella,2,1,0,0,1,0,1,1,5,2,0,0,0,0
,Snodgrassella alvi,6,14,11,6,11,0,6,5,5,5,0,0,0,5
,Vitreoscilla,10,0,2,4,1,5,0,1,3,0,0,0,0,2
,unclassified Vitreoscilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vitreoscilla sp. C1,0,5,5,0,10,0,0,0,0,0,0,0,0,0
,Vitreoscilla filiformis,10,54,35,15,32,0,7,13,17,9,0,0,5,8
,Nitrosomonadales,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,Gallionellaceae,0,1,2,0,5,8,4,1,5,1,3,0,1,3
,Ferriphaselus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ferriphaselus amnicola,20,39,53,16,36,0,0,21,19,14,0,0,13,12
,Gallionella,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Gallionella capsiferriformans,20,64,41,18,32,0,0,13,7,6,0,0,8,15
,Sideroxydans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sideroxydans lithotrophicus,61,152,102,44,76,13,5,30,32,30,5,0,21,44
,Sulfuricella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Sulfuricella denitrificans,61,171,121,37,106,20,9,48,40,41,8,0,16,23
,Sulfuriferula,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfuriferula plumbiphila,0,0,6,6,0,0,0,0,0,0,0,0,0,0
,Methylophilaceae,5,9,4,2,7,11,3,3,13,10,6,0,6,0
,Candidatus Methylopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Methylopumilus planktonicus,6,12,11,0,21,0,5,20,0,6,0,0,8,0
,Candidatus Methylopumilus turicensis,0,12,0,0,6,0,0,34,0,0,0,0,0,0
,Methylobacillus,1,3,0,0,0,0,0,1,0,0,0,0,0,0
,Methylobacillus flagellatus,23,47,46,9,27,0,5,8,11,5,0,0,0,5
,Methylotenera,5,0,0,0,3,0,0,8,7,7,0,0,0,7
,Methylotenera mobilis,8,30,18,11,19,0,0,0,0,0,0,0,0,0
,Methylotenera versatilis,0,15,20,8,17,0,0,13,0,0,0,0,0,0
,Methylovorus,18,49,28,14,30,18,8,18,26,18,0,0,5,13
,Methylovorus glucosotrophus,11,18,19,7,18,0,0,6,5,0,0,0,0,0
,unclassified Methylovorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Methylovorus sp. MP688,16,30,25,10,11,0,0,9,9,8,0,0,0,0
,unclassified Methylophilaceae,6,6,11,5,1,7,5,8,6,7,6,0,4,6
,Methylomonas clara,15,37,35,12,24,5,0,16,0,5,0,0,0,13
,Nitrosomonadaceae,2,4,7,7,3,0,0,1,4,3,5,0,0,1
,Nitrosomonas,25,43,30,20,24,24,8,9,16,20,12,0,14,13
,Nitrosomonas communis,72,201,106,35,58,15,6,20,27,16,0,0,8,10
,Nitrosomonas europaea,32,59,39,17,30,5,9,15,30,8,0,0,0,6
,Nitrosomonas eutropha,28,56,39,19,25,0,0,8,20,9,0,0,0,0
,Nitrosomonas stercoris,11,22,20,8,7,5,0,0,0,5,0,0,0,6
,Nitrosomonas ureae,22,51,41,23,23,6,11,12,10,6,0,0,0,8
,unclassified Nitrosomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nitrosomonas sp. AL212,0,11,11,0,8,0,0,0,0,0,0,0,0,0
,Nitrosomonas sp. Is79A3,24,42,56,19,28,6,7,20,18,17,0,0,12,10
,Nitrosospira,1,11,6,2,3,10,4,3,4,6,3,0,5,0
,Nitrosospira briensis,35,83,58,25,28,5,0,9,12,16,0,0,6,10
,Nitrosospira lacus,39,100,63,25,31,0,0,8,9,11,5,0,0,7
,Nitrosospira multiformis,25,44,54,16,34,9,8,14,24,10,0,0,8,11
,Sterolibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sterolibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sterolibacterium denitrificans,56,114,104,27,86,22,5,35,41,32,0,0,15,22
,Sulfurisoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurisoma sediminicola,0,12,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfuritalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfuritalea hydrogenivorans,80,211,156,75,175,18,9,58,56,45,0,0,18,23
,Thiobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Annwoodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Annwoodia aquaesulis,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,Thiobacillus,5,15,12,3,10,0,0,0,0,1,0,0,1,4
,"environmental samples <b-proteobacteria,genus Thiobacillus>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Thiobacillus sp.,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Thiobacillus denitrificans,73,149,130,39,100,9,6,25,23,42,0,0,17,18
,Rhodocyclales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azonexaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dechloromonas,1,1,1,1,1,0,0,0,0,0,0,0,0,0
,Dechloromonas aromatica,52,122,90,43,94,13,0,27,25,28,0,0,10,23
,Rhodocyclaceae,49,124,98,58,113,7,9,66,55,35,30,0,21,17
,Aromatoleum,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Aromatoleum aromaticum,64,131,120,44,111,11,8,56,35,28,0,0,12,16
,Azospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azospira oryzae,57,134,99,41,106,25,15,58,60,53,0,0,19,17
,Rugosibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rugosibacter aromaticivorans,35,65,42,10,26,15,11,31,37,41,0,0,15,13
,Zoogloeaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azoarcus,51,152,115,56,137,17,8,66,58,50,24,0,24,26
,Azoarcus communis,92,222,192,67,155,26,7,47,58,37,5,0,21,24
,Azoarcus olearius,11,16,18,6,15,0,0,12,8,0,0,0,0,0
,unclassified Azoarcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azoarcus sp. BH72,7,20,9,8,11,0,0,11,20,9,0,0,0,6
,Azoarcus sp. CIB,57,134,123,41,123,19,14,50,57,34,0,0,15,13
,Azoarcus sp. DN11,48,133,111,31,122,24,11,36,39,33,0,0,14,17
,Azoarcus sp. KH32C,68,138,109,39,133,23,9,69,73,47,8,0,17,29
,Thauera,27,71,63,19,76,21,8,37,35,25,2,0,6,14
,Thauera aromatica,42,91,80,38,65,6,0,34,34,20,0,0,6,7
,Thauera chlorobenzoica,30,60,64,18,69,9,6,25,28,9,0,0,7,10
,Thauera humireducens,51,111,97,37,103,6,0,39,25,19,0,0,11,14
,unclassified Thauera,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thauera sp. MZ1T,66,142,122,42,172,27,7,51,36,27,5,0,14,17
,Zoogloea,1,2,6,0,1,0,0,0,0,0,0,0,0,0
,Zoogloea oryzae,7,11,7,9,9,6,0,0,0,0,0,0,0,0
,unclassified Betaproteobacteria,7,15,9,4,12,3,6,2,6,2,3,0,4,8
,Candidatus Accumulibacter,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Accumulibacter phosphatis,122,244,190,74,188,29,20,72,71,61,8,0,16,25
,Candidatus Kinetoplastibacterium,6,16,15,9,27,11,9,4,28,19,8,0,7,11
,Candidatus Kinetoplastibacterium galatii,0,0,0,0,0,0,0,6,0,7,0,0,0,0
,Candidatus Kinetoplastibacterium oncopeltii,0,0,0,0,0,0,0,14,20,12,0,0,0,0
,Candidatus Kinetoplastibacterium sorsogonicusi,0,0,0,0,0,0,0,7,12,8,0,0,0,0
,Candidatus Nasuia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Nasuia deltocephalinicola,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,Candidatus Tremblaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Tremblaya princeps,0,0,0,0,0,0,0,0,0,7,0,0,0,0
,unclassified Betaproteobacteria (miscellaneous),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,beta proteobacterium CB,0,11,6,0,7,0,0,7,0,0,0,0,0,0
,delta/epsilon subdivisions,22,45,48,17,47,13,7,30,40,29,4,0,10,8
,Deltaproteobacteria,1097,2324,2080,755,1500,345,197,595,782,660,118,0,176,305
,Bradymonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bradymonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bradymonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bradymonas sediminis,45,87,110,32,110,22,16,39,51,34,0,0,11,17
,Candidatus Desulfofervidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Desulfofervidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Desulfofervidus auxilii,21,34,45,17,68,58,40,90,156,161,21,0,26,37
,Desulfarculales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfarculaceae,0,0,0,0,0,0,0,0,1,3,0,0,0,1
,Desulfarculus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfarculus baarsii,161,308,321,125,303,107,67,218,280,176,30,0,50,70
,Desulfobacterales,105,233,156,69,70,13,4,21,20,19,2,0,16,19
,Desulfoarculaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <d-proteobacteria,family Desulfoarculaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Desulfoarculaceae bacterium,5,14,21,8,0,0,0,0,0,0,0,0,0,0
,Desulfobacteraceae,512,1054,811,297,334,68,26,49,86,102,20,0,74,94
,Desulfamplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfamplus magnetovallimortis,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Desulfatibacillum,18,48,36,13,19,7,1,2,5,2,0,0,1,2
,Desulfatibacillum aliphaticivorans,432,859,699,249,356,103,50,139,176,132,9,0,39,63
,Desulfatiglans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfatiglans anilini,0,8,0,0,5,0,0,6,6,5,0,0,0,0
,Desulfobacter,3,7,6,3,0,0,0,0,0,0,0,0,1,5
,Desulfobacter hydrogenophilus,302,610,531,203,252,74,31,82,126,75,5,0,83,141
,Desulfobacterium,17,26,16,6,12,2,0,0,1,2,0,0,3,3
,Desulfobacterium autotrophicum,342,702,526,228,295,63,40,94,104,91,10,0,66,133
,Desulfobacterium indolicum,0,10,5,7,0,0,0,0,0,0,0,0,0,0
,"environmental samples <d-proteobacteria,genus Desulfobacterium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Desulfobacterium sp.,514,1060,924,361,493,194,102,209,235,250,44,0,63,96
,unclassified Desulfobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfobacterium sp. AK1,5,9,7,0,0,0,0,0,0,0,0,0,0,0
,Desulfobacula,1,0,0,0,1,0,0,0,0,0,0,0,1,1
,Desulfobacula toluolica,314,683,576,257,423,79,48,81,141,113,28,0,155,228
,Desulfococcus,55,99,68,20,45,2,2,6,9,9,5,0,1,3
,Desulfococcus multivorans,585,1264,1018,397,530,94,52,174,214,187,18,0,40,62
,Desulfococcus oleovorans,427,912,825,342,477,122,90,202,246,204,27,0,69,95
,Desulfofaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfofaba gelida,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Desulfonema,0,8,3,0,0,0,0,0,0,0,0,0,0,0
,Desulfonema magnum,10,22,15,8,0,0,0,0,0,0,0,0,0,0
,Desulfosarcina,30,44,23,12,16,0,0,0,0,0,0,0,0,0
,Desulfosarcina cetonica,0,5,6,0,0,0,0,0,0,0,0,0,0,0
,Desulfosarcina variabilis,6,26,18,6,0,0,0,0,0,0,0,0,0,0
,Desulfotignum,12,6,0,2,4,0,0,0,0,0,0,0,0,0
,Desulfotignum balticum,7,19,23,10,5,0,0,0,0,0,0,0,0,0
,unclassified Desulfotignum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfotignum sp. DSM 7120,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <d-proteobacteria,family Desulfobacteraceae>",0,0,0,0,1,0,0,0,0,0,0,0,0,0
,uncultured Desulfobacteraceae bacterium,53,99,70,39,37,0,0,0,7,7,0,0,0,0
,Desulfobulbaceae,20,15,30,12,34,5,0,8,6,9,9,0,23,21
,Desulfobulbus,1,3,1,0,3,2,0,4,1,5,0,0,1,0
,Desulfobulbus propionicus,150,274,280,123,177,46,18,105,104,102,10,0,28,54
,Desulfocapsa,2,0,1,0,0,0,0,0,0,0,0,0,0,1
,Desulfocapsa sulfexigens,109,138,173,79,119,27,10,27,51,30,9,0,28,33
,Desulfotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfotalea psychrophila,81,147,138,72,100,27,14,21,23,27,0,0,25,39
,Desulfurivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurivibrio alkaliphilus,129,248,226,100,216,56,39,112,158,102,8,0,33,37
,"environmental samples <d-proteobacteria,order Desulfobacterales>",0,1,2,0,0,0,0,0,0,0,0,0,0,0
,uncultured Desulfobacterales bacterium,15,22,20,8,7,0,0,0,0,0,0,0,5,0
,Desulfovibrionales,41,100,88,26,64,20,7,26,29,25,7,0,2,8
,Desulfohalobiaceae,1,2,4,0,1,2,0,0,0,0,0,0,1,0
,Desulfohalobium,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Desulfohalobium retbaense,91,187,166,61,111,39,30,57,88,52,8,0,12,14
,Desulfomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfomicrobium,2,8,2,2,7,1,1,3,4,2,4,0,2,5
,Desulfomicrobium baculatum,108,220,223,76,146,45,25,119,169,101,16,0,24,35
,Desulfomicrobium orale,66,131,112,45,78,23,11,40,51,41,0,0,13,22
,Desulfovibrionaceae,6,2,4,2,7,3,4,6,8,4,3,0,3,1
,Desulfocurvibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfocurvibacter africanus,67,172,162,54,162,46,23,89,138,103,10,0,25,45
,Desulfovibrio,201,412,365,160,343,101,41,200,225,174,52,0,51,60
,Desulfovibrio alaskensis,54,114,95,38,73,11,12,25,52,23,0,0,7,15
,Desulfovibrio carbinolicus,48,108,113,41,85,22,23,41,50,46,6,0,9,20
,Desulfovibrio desulfuricans,115,273,274,87,264,75,46,163,155,110,15,0,36,46
,Desulfovibrio fairfieldensis,50,106,106,47,81,17,13,42,56,28,0,0,11,15
,Desulfovibrio ferrophilus,65,176,165,71,98,16,10,52,64,51,6,0,11,16
,Desulfovibrio gigas,79,140,170,52,130,40,16,64,75,56,8,0,15,34
,Desulfovibrio hydrothermalis,39,69,73,22,38,7,9,28,21,13,0,0,5,15
,Desulfovibrio magneticus,36,82,84,32,89,24,17,62,66,45,0,0,8,9
,Desulfovibrio piger,50,104,89,35,74,31,16,56,58,46,9,0,15,13
,Desulfovibrio salexigens,23,68,49,30,52,13,9,23,36,19,0,0,6,11
,Desulfovibrio vulgaris,144,265,245,103,209,60,33,149,171,83,22,0,31,42
,unclassified Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfovibrio sp. G11,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Lawsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lawsonia intracellularis,0,6,0,5,0,5,0,0,6,7,0,0,0,6
,Pseudodesulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudodesulfovibrio aespoeensis,76,145,130,56,139,40,24,83,76,59,17,0,31,35
,Pseudodesulfovibrio piezophilus,32,76,71,26,56,21,9,16,35,25,0,0,6,13
,Pseudodesulfovibrio profundus,52,100,87,37,55,16,14,29,41,34,0,0,14,16
,Desulfurellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurellaceae,8,3,3,0,1,3,4,1,2,2,5,0,6,0
,Desulfurella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurella acetivorans,5,13,11,5,22,8,0,18,22,15,0,0,0,9
,Hippea,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,Hippea maritima,10,16,14,6,21,18,5,22,35,23,0,0,0,9
,Desulfuromonadales,52,139,122,47,141,35,20,55,70,63,20,0,18,23
,Desulfuromonadaceae,0,3,1,0,0,0,0,0,1,1,0,0,0,1
,Desulfuromonas,1,5,3,2,11,2,0,0,2,2,0,0,3,3
,Desulfuromonas soudanensis,110,289,232,107,312,52,53,154,177,125,16,0,47,63
,Pelobacter,10,11,11,6,11,2,4,6,5,5,5,0,0,6
,"environmental samples <d-proteobacteria,genus Pelobacter>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Pelobacter sp.,0,0,5,0,6,0,0,0,0,0,0,0,0,0
,Pelobacter acetylenicus,88,166,121,52,122,40,20,67,94,72,8,0,11,27
,Pelobacter carbinolicus,71,143,133,50,118,32,17,77,88,61,0,0,16,30
,Pelobacter propionicus,96,223,196,79,198,56,36,129,155,110,8,0,42,41
,Geobacteraceae,9,11,8,2,16,3,4,9,11,10,3,0,1,1
,Geoalkalibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geoalkalibacter subterraneus,89,195,186,63,156,34,20,86,124,96,8,0,30,25
,Geobacter,160,338,330,151,390,111,61,241,285,252,62,0,63,95
,"environmental samples <d-proteobacteria,genus Geobacter>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Geobacter sp.,0,8,12,0,8,0,0,9,6,0,0,0,0,0
,Geobacter anodireducens,48,102,81,28,101,25,15,61,57,37,7,0,18,19
,Geobacter bemidjiensis,38,82,92,48,128,34,15,71,81,47,0,0,15,17
,Geobacter daltonii,87,177,157,65,122,52,30,74,88,59,16,0,20,34
,Geobacter lovleyi,60,169,121,45,124,33,21,61,75,64,7,0,18,22
,Geobacter metallireducens,69,164,140,59,158,46,42,98,134,102,7,0,26,41
,Geobacter pickeringii,84,175,146,56,203,53,30,119,123,87,15,0,25,51
,Geobacter sulfurreducens,84,171,174,78,168,40,27,107,133,88,13,0,27,31
,Geobacter uraniireducens,159,400,340,135,243,75,43,124,170,117,14,0,38,68
,unclassified Geobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geobacter sp. DSM 9736,40,73,71,32,98,15,14,59,71,40,0,0,14,23
,Geobacter sp. M18,105,256,247,89,273,72,54,162,171,155,15,0,36,46
,Geobacter sp. M21,49,112,96,42,108,36,31,90,112,75,8,0,17,25
,"environmental samples <d-proteobacteria,class Deltaproteobacteria>",10,13,17,7,19,10,3,5,16,13,2,0,4,5
,uncultured delta proteobacterium,167,359,342,140,334,48,33,92,181,151,28,0,36,72
,uncultured delta proteobacterium DeepAnt-1F12,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Myxococcales,127,290,257,126,380,48,27,109,68,48,11,0,45,49
,Cystobacterineae,133,298,300,145,398,62,35,137,106,77,16,0,33,52
,Anaeromyxobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anaeromyxobacter,128,313,268,127,420,57,24,138,133,82,22,0,45,55
,Anaeromyxobacter dehalogenans,67,172,141,70,228,28,24,67,79,39,9,0,28,31
,unclassified Anaeromyxobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anaeromyxobacter sp. Fw109-5,99,211,198,106,309,47,23,93,118,66,11,0,36,48
,Anaeromyxobacter sp. K,20,36,30,11,56,6,8,24,18,12,0,0,10,7
,Archangiaceae,49,101,108,40,128,25,7,44,52,34,16,0,12,27
,Archangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Archangium gephyra,94,176,185,95,263,45,26,116,135,106,11,0,25,28
,Cystobacter,1,6,1,1,3,2,0,3,1,1,0,0,1,0
,Cystobacter fuscus,71,145,134,70,210,32,19,108,130,89,11,0,22,29
,unclassified Cystobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cystobacter sp. SBCb004,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Melittangium,0,0,1,0,3,0,0,0,0,1,0,0,0,0
,Melittangium boletus,56,122,121,46,149,25,17,66,54,39,6,0,21,18
,Stigmatella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Stigmatella aurantiaca,71,143,149,56,171,38,14,68,89,59,7,0,31,27
,Myxococcaceae,93,173,193,83,254,39,17,81,75,62,12,0,28,28
,Corallococcus,4,10,13,4,6,3,1,4,1,3,6,0,1,3
,Corallococcus coralloides,74,169,189,63,237,51,17,92,74,63,5,0,24,31
,Myxococcus,14,38,39,19,36,8,5,24,19,10,4,0,6,2
,Myxococcus hansupus,30,86,69,34,79,23,13,43,43,27,0,0,16,15
,Myxococcus macrosporus,42,84,85,29,107,29,16,50,41,25,0,0,10,12
,Myxococcus stipitatus,54,124,114,55,174,14,18,58,59,29,0,0,16,17
,Myxococcus xanthus,69,150,134,55,170,30,26,66,73,64,5,0,22,17
,Vulgatibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vulgatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vulgatibacter incomptus,83,235,220,103,270,47,19,76,79,44,5,0,31,28
,"environmental samples <d-proteobacteria,order Myxococcales>",0,2,1,1,3,1,0,0,6,0,0,0,0,2
,uncultured myxobacterium HF0200_01L06,52,116,110,52,104,5,0,0,0,0,0,0,0,0
,uncultured Myxococcales bacterium,76,185,96,42,21,0,0,0,0,0,0,0,0,5
,Nannocystineae,4,3,4,1,2,0,0,0,0,2,0,0,0,2
,Kofleriaceae,0,1,0,1,2,2,0,0,0,2,1,0,1,1
,Haliangium,0,1,0,0,2,1,0,0,0,0,0,0,0,1
,Haliangium ochraceum,206,520,441,150,540,73,43,147,113,101,8,0,45,67
,Nannocystaceae,0,2,1,0,2,0,0,0,0,0,0,0,0,0
,Nannocystis,0,6,5,0,5,0,0,0,0,0,0,0,0,0
,Sorangiineae,82,174,151,61,148,21,9,71,43,27,13,0,38,38
,Labilitrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Labilithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Labilithrix luteola,86,215,199,75,212,27,17,103,79,62,6,0,33,42
,Polyangiaceae,15,36,26,18,30,9,2,24,21,11,3,0,5,6
,Chondromyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chondromyces crocatus,88,204,158,76,226,46,16,82,60,71,6,0,26,41
,Jahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Jahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jahnella sp. MSr9139,0,0,0,0,11,0,0,0,5,0,0,0,0,0
,Sorangium,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,Sorangium cellulosum,483,1061,991,435,1330,224,99,506,356,309,55,0,190,258
,Sandaracinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sandaracinus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sandaracinus amylolyticus,175,403,322,165,419,57,35,112,91,66,5,0,48,42
,unclassified Sorangiineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Minicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Minicystis rosea,131,283,266,116,378,89,38,138,148,131,14,0,97,138
,Syntrophobacterales,11,21,16,6,22,5,4,15,34,21,1,0,3,13
