,,Depth (cm),,,,,,,,,,,,,
,Rhizobium leguminosarum,563,439,428,528,793,591,837,640,1032,214,74,251,107,320
,Rhizobium marinum,0,0,0,0,0,0,0,0,0,0,373,0,0,0
,Rhizobium phaseoli,93,80,72,88,153,95,151,113,191,55,0,40,8,58
,Rhizobium pusense,0,0,0,0,0,0,0,5,5,0,67,0,0,0
,Rhizobium selenitireducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium skierniewicense,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium tropici,83,66,61,60,113,59,109,76,179,27,0,35,17,34
,Rhizobium undicola,0,0,0,0,0,0,0,0,0,0,52,0,0,0
,unclassified Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobium sp.,0,0,0,0,6,5,14,0,10,0,0,0,0,0
,Rhizobium sp. ACO-34A,87,60,58,67,166,112,184,107,191,41,0,34,21,48
,Rhizobium sp. IE4771,19,15,17,22,30,17,37,23,28,0,63,0,5,14
,Rhizobium sp. IRBG74,0,0,0,0,0,0,5,0,5,0,20,0,0,0
,Rhizobium sp. Khangiran2,24,18,15,26,37,27,44,19,31,8,0,5,0,17
,Rhizobium sp. Q54,61,53,76,74,108,85,137,82,144,30,16,30,21,46
,Rhizobium sp. TCK,6,5,0,5,13,15,14,0,20,0,44,0,0,0
,Shinella,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,unclassified Shinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Shinella sp. HZN7,192,127,185,145,267,215,280,193,397,68,0,82,20,112
,Sinorhizobium/Ensifer group,91,54,94,63,101,82,124,101,180,34,134,39,13,46
,Ensifer,7,5,4,10,8,3,7,3,14,1,47,6,1,3
,Ensifer adhaerens,312,281,228,224,462,287,387,308,666,122,3,114,42,137
,Ensifer sojae,136,73,108,100,115,98,142,109,211,35,190,37,21,58
,unclassified Ensifer,0,0,0,0,0,0,0,0,0,0,66,0,0,0
,Ensifer sp. BR816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium,276,209,226,207,292,244,320,254,491,95,0,123,64,120
,"environmental samples <a-proteobacteria,genus Sinorhizobium>",0,0,0,0,0,0,0,0,0,0,149,0,0,0
,uncultured Sinorhizobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sinorhizobium americanum,129,110,98,90,150,113,116,86,190,30,0,34,7,52
,Sinorhizobium fredii group,0,0,0,0,1,2,2,0,2,0,72,0,0,0
,Sinorhizobium fredii,497,379,372,399,514,388,505,390,736,161,1,162,53,172
,Sinorhizobium medicae,69,58,57,78,125,82,82,83,129,19,252,29,0,43
,Sinorhizobium meliloti,307,248,284,294,435,341,364,334,559,123,50,141,54,164
,unclassified Sinorhizobium,0,0,0,0,0,0,0,0,0,0,193,0,0,0
,Sinorhizobium sp. CCBAU 05631,23,18,7,0,22,19,12,6,19,0,0,6,0,0
,Sinorhizobium sp. M14,0,0,0,0,6,0,0,0,6,0,5,0,0,0
,unclassified Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,arsenite-oxidising bacterium NT-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizobiales incertae sedis,8,3,2,5,10,7,3,4,6,2,0,1,4,4
,Candidatus Hodgkinia,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,Candidatus Hodgkinia cicadicola,0,0,0,0,5,0,0,6,0,0,0,0,0,0
,Hartmannibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hartmannibacter diazotrophicus,163,149,173,209,329,254,297,259,514,88,0,113,31,143
,Methyloceanibacter,0,0,0,0,0,0,0,0,0,0,145,0,0,0
,Methyloceanibacter caenitepidi,163,149,181,177,579,1414,400,1200,4729,553,0,656,149,708
,Pseudorhodoplanes,0,0,0,0,0,0,0,0,0,0,376,0,0,0
,Pseudorhodoplanes sinuspersici,284,240,287,379,1086,431,1608,701,1323,267,0,245,204,467
,Rhodobiaceae,1,0,1,3,4,6,4,2,6,3,261,6,2,4
,Afifella,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,Afifella pfennigii,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Candidatus Phaeomarinobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Phaeomarinobacter ectocarpi,43,32,30,55,82,66,55,133,98,15,0,24,0,35
,"environmental samples <a-proteobacteria,family Rhodobiaceae>",0,0,0,0,0,0,0,0,0,0,40,0,0,0
,uncultured Rhodobiaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parvibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parvibaculum lavamentivorans,138,99,103,158,208,194,157,202,438,70,0,87,30,100
,Rhodobium,0,0,0,0,0,0,0,0,2,0,94,0,0,0
,Rhodobium gokarnense,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,Xanthobacteraceae,34,33,36,42,114,80,87,69,145,31,0,37,13,39
,Azorhizobium,0,0,0,0,0,0,0,0,0,0,26,0,0,0
,Azorhizobium caulinodans,153,176,192,210,450,265,277,283,574,114,0,130,47,136
,Pseudolabrys,3,1,1,0,6,2,1,5,3,4,153,1,4,1
,"environmental samples <a-proteobacteria,genus Pseudolabrys>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Pseudolabrys sp.,0,0,0,0,6,10,6,0,29,0,0,5,0,0
,Pseudolabrys taiwanensis,541,495,595,759,2918,933,1224,711,1519,355,0,438,131,417
,Starkeya,1,1,0,0,1,0,2,2,2,0,409,1,0,0
,Starkeya novella,309,291,380,356,593,451,673,556,930,199,0,267,68,234
,unclassified Starkeya,0,0,0,0,0,0,0,0,0,0,211,0,0,0
,Starkeya sp. SL25,0,0,0,0,0,0,7,0,0,0,0,0,0,0
,Xanthobacter,3,4,1,1,5,1,11,6,3,1,0,1,1,3
,Xanthobacter autotrophicus,178,182,242,230,478,293,304,277,593,121,1,145,58,152
,Xanthobacter flavus,0,0,0,0,0,5,0,0,6,0,161,0,0,0
,Rhodobacterales,6,6,4,6,17,18,21,25,37,9,0,7,3,8
,"environmental samples <a-proteobacteria,order Rhodobacterales>",0,0,0,0,0,0,0,0,0,0,7,0,0,0
,uncultured Rhodobacterales bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyphomonadaceae,1,3,1,6,3,2,6,5,8,1,0,4,7,2
,Glycocaulis,0,0,0,0,0,1,0,0,0,0,6,0,0,0
,Glycocaulis alkaliphilus,39,43,44,50,72,49,41,65,105,26,1,20,5,40
,Hirschia,6,0,0,0,0,0,0,0,0,0,39,0,0,0
,Hirschia baltica,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,Hyphomonas,1,1,1,1,2,1,0,1,2,0,0,0,0,2
,Hyphomonas neptunium,39,43,28,41,80,40,43,58,75,21,3,17,7,24
,Maricaulis,1,0,0,0,0,0,0,0,0,0,44,0,0,0
,Maricaulis maris,53,35,25,54,74,54,67,74,102,17,0,24,5,33
,Rhodobacteraceae,486,345,428,453,718,485,529,549,740,199,27,226,153,272
,Antarctobacter,0,0,0,0,0,0,0,0,0,0,366,0,0,0
,Antarctobacter heliothermus,45,18,23,33,65,38,28,38,46,11,0,14,5,25
,Brevirhabdus,0,0,0,0,0,0,0,0,0,0,20,0,0,0
,Brevirhabdus pacifica,69,54,55,78,92,51,60,88,82,13,0,28,7,43
,Celeribacter,1,2,7,12,3,1,3,2,5,4,46,6,1,0
,Celeribacter baekdonensis,23,18,19,24,46,19,24,29,18,7,9,0,0,13
,Celeribacter indicus,102,83,93,113,126,88,86,80,137,32,8,27,8,39
,Celeribacter manganoxidans,44,36,37,49,77,46,46,51,62,19,55,21,6,25
,Celeribacter marinus,16,11,7,0,22,10,12,15,27,0,37,0,0,11
,Defluviimonas,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,Defluviimonas alba,85,65,77,99,128,100,95,90,127,28,0,40,18,49
,Dinoroseobacter,0,0,0,1,0,0,2,0,0,0,89,0,0,0
,Dinoroseobacter shibae,69,57,68,71,111,73,61,74,107,25,0,29,5,54
,Epibacterium,0,0,0,0,0,0,0,0,0,0,47,0,0,0
,Epibacterium mobile,23,19,16,51,61,29,26,37,52,14,0,7,0,21
,Haematobacter,0,0,0,0,0,0,0,0,0,0,14,0,0,0
,Haematobacter massiliensis,53,50,52,69,78,71,78,66,90,29,0,23,0,36
,Halocynthiibacter,0,0,0,0,0,0,0,0,0,0,33,0,0,0
,Halocynthiibacter arcticus,6,9,5,10,16,18,14,17,21,6,0,0,0,6
,Jannaschia,0,1,1,0,1,0,1,1,0,0,6,0,0,2
,unclassified Jannaschia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jannaschia sp. CCS1,39,28,15,45,46,45,29,45,43,15,0,18,0,17
,Ketogulonicigenium,0,0,3,1,2,1,2,1,0,9,25,0,5,4
,Ketogulonicigenium robustum,26,19,20,34,39,21,32,24,28,6,1,8,0,6
,Ketogulonicigenium vulgare,42,15,28,39,50,18,31,26,37,6,19,11,0,10
,Labrenzia,0,0,0,1,0,0,0,1,0,0,22,0,0,0
,Labrenzia aggregata,64,57,60,68,133,66,111,96,125,35,0,23,10,52
,Leisingera,3,7,2,6,4,5,8,2,4,6,56,7,0,1
,Leisingera aquaemixtae,46,35,50,67,96,62,49,58,79,13,2,24,7,29
,Leisingera methylohalidivorans,40,36,51,54,61,37,45,41,75,13,32,21,6,20
,Loktanella,0,2,1,1,1,1,0,0,8,5,20,0,0,0
,Loktanella salsilacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marinovum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marinovum algicola,94,67,73,104,131,95,64,83,110,15,0,38,26,46
,Octadecabacter,6,3,13,12,0,1,4,5,5,2,58,6,5,9
,Octadecabacter antarcticus,17,9,0,20,17,22,18,13,16,6,15,0,0,7
,Octadecabacter arcticus,22,53,39,10,24,24,18,11,31,0,5,7,0,7
,Octadecabacter temperatus,0,0,0,0,15,11,10,10,11,0,13,0,0,0
,Pannonibacter,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,Pannonibacter phragmitetus,130,120,119,153,323,195,240,216,323,88,0,84,27,110
,Paracoccus,104,70,93,135,159,145,120,117,151,41,92,60,33,56
,Paracoccus aminophilus,48,40,30,54,82,56,83,61,74,27,93,14,5,28
,Paracoccus aminovorans,56,51,58,98,111,79,77,72,108,25,26,22,15,35
,Paracoccus denitrificans,75,58,85,78,110,101,89,78,143,21,64,39,15,52
,Paracoccus kondratievae,0,0,0,0,0,0,0,0,8,0,55,0,0,0
,Paracoccus marcusii,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,Paracoccus mutanolyticus,0,13,18,5,9,9,8,0,9,0,0,0,0,0
,Paracoccus pantotrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paracoccus yeei,76,59,56,75,105,64,64,53,107,31,0,24,16,30
,Paracoccus zhejiangensis,79,66,59,92,119,78,87,87,147,31,36,22,7,50
,unclassified Paracoccus,0,0,0,0,0,0,0,0,0,0,43,0,0,0
,Paracoccus sp. BM15,47,26,37,47,61,36,39,46,68,12,0,11,6,12
,Paracoccus sp. SY,0,0,0,0,0,0,0,0,0,0,17,0,0,0
,Pelagibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pelagibaca abyssi,76,83,121,82,143,103,67,81,163,38,0,43,18,60
,Phaeobacter,40,40,39,52,88,44,49,56,65,13,53,22,12,27
,Phaeobacter gallaeciensis,34,28,38,61,92,65,69,52,68,12,34,13,9,16
,Phaeobacter inhibens,39,39,38,47,90,52,54,43,59,18,43,19,20,26
,Phaeobacter piscinae,20,16,19,16,36,22,20,24,27,0,37,9,0,9
,unclassified Phaeobacter,0,0,0,0,0,0,0,0,0,0,19,0,0,0
,Phaeobacter sp. LSS9,0,0,0,6,0,0,0,7,0,0,0,0,0,0
,Planktomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Planktomarina temperata,0,12,0,6,24,24,23,8,24,0,0,5,0,7
,Pseudovibrio,0,0,0,1,0,0,0,1,0,0,11,0,0,0
,unclassified Pseudovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudovibrio sp. FO-BEG1,33,15,21,12,33,28,24,29,23,9,0,9,0,20
,Rhodobaca,0,0,0,0,0,0,0,0,0,0,14,0,0,0
,Rhodobaca barguzinensis,21,16,19,33,40,23,17,27,36,18,0,11,0,17
,Rhodobacter,20,20,22,27,29,16,18,17,35,5,27,10,5,5
,Rhodobacter blasticus,46,54,49,72,107,63,62,69,91,13,15,28,11,47
,Rhodobacter capsulatus,70,53,43,67,121,75,69,69,68,21,38,29,9,31
,Rhodobacter sphaeroides,461,367,422,495,582,479,422,442,688,163,32,178,60,226
,Rhodovulum,42,32,46,34,55,33,38,40,63,21,292,23,11,20
,Rhodovulum sulfidophilum,68,69,50,79,92,83,50,75,115,25,24,39,7,43
,unclassified Rhodovulum,0,0,0,0,0,0,0,0,0,0,63,0,0,0
,Rhodovulum sp. MB263,43,46,56,46,54,45,41,55,67,21,0,17,6,27
,Rhodovulum sp. P5,50,46,48,55,91,62,69,57,69,10,27,21,16,40
,Roseibacterium,0,0,0,0,0,0,0,0,0,0,54,0,0,0
,Roseibacterium elongatum,54,39,35,55,68,44,49,67,111,19,0,14,20,32
,Roseobacter,6,4,5,4,4,10,1,6,5,12,38,0,0,7
,Roseobacter denitrificans,25,17,7,28,36,15,22,21,44,0,8,6,0,13
,Roseobacter litoralis,15,18,10,21,27,22,14,7,21,6,15,8,0,0
,Roseovarius,1,0,0,0,0,0,0,0,0,0,6,0,0,0
,Roseovarius mucosus,45,22,14,36,55,37,41,34,56,9,0,5,0,21
,Ruegeria,4,0,4,6,11,5,7,4,7,4,11,3,11,0
,Ruegeria pomeroyi,42,37,50,61,99,51,55,71,102,24,6,25,7,36
,unclassified Ruegeria,0,0,0,0,0,0,0,0,0,0,29,0,0,0
,Ruegeria sp. PR1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ruegeria sp. TM1040,23,12,19,25,28,21,22,24,23,5,0,7,0,13
,Salipiger,0,0,1,0,0,1,0,0,0,0,20,0,0,1
,Salipiger profundus,120,97,121,110,146,82,104,105,124,20,0,35,21,47
,Sulfitobacter,5,7,13,4,6,18,7,5,17,9,77,18,12,17
,Sulfitobacter pseudonitzschiae,28,11,27,32,49,29,30,39,50,8,13,11,0,8
,unclassified Sulfitobacter,0,0,0,0,0,0,0,0,0,0,16,0,0,0
,Sulfitobacter sp. BSw21498,8,8,0,21,23,8,10,26,13,6,0,0,0,0
,Sulfitobacter sp. SK011,18,19,21,32,24,21,13,12,17,0,5,0,0,0
,Sulfitobacter sp. SK012,15,8,5,8,24,7,7,15,17,8,10,9,0,0
,Sulfitobacter sp. SK025,20,22,26,22,27,18,25,29,36,8,12,8,0,14
,Tateyamaria,0,0,0,0,0,0,0,0,0,0,18,0,0,0
,Tateyamaria omphalii,30,28,32,67,52,36,36,32,49,15,0,17,0,21
,Thioclava,0,0,0,0,0,0,0,0,0,0,25,0,0,0
,Thioclava dalianensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yangia pacifica,90,92,106,97,132,95,110,83,148,25,0,44,21,53
,Yoonia,0,0,0,0,0,0,0,0,0,0,76,0,0,0
,Yoonia vestfoldensis,28,21,23,36,53,35,39,29,48,8,0,8,5,18
,Rhodospirillales,212,209,269,280,188,169,109,175,273,71,24,87,22,65
,Acetobacteraceae,90,68,98,134,104,84,94,117,132,56,115,68,40,66
,Acetobacter,27,21,30,41,36,33,34,26,16,16,84,11,12,20
,Acetobacter ascendens,0,6,0,0,0,5,6,11,0,0,17,0,0,0
,Acetobacter ghanensis,7,15,7,8,20,15,7,11,5,0,0,0,0,0
,Acetobacter orientalis,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,Acetobacter pasteurianus,11,12,8,8,26,16,19,17,21,9,0,5,0,5
,Acetobacter persici,6,10,5,8,0,7,5,0,13,0,8,0,0,0
,Acetobacter pomorum,0,0,0,5,5,0,0,6,5,0,0,0,0,0
,Acetobacter senegalensis,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Acetobacter subgen. Acetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acetobacter aceti,20,18,17,18,40,25,31,34,38,8,0,10,0,18
,Acetobacter tropicalis,0,0,0,0,0,0,0,0,0,0,18,0,0,0
,Acidiphilium,139,114,168,162,195,127,100,137,220,43,0,57,26,62
,Acidiphilium cryptum,28,37,26,23,12,17,12,7,20,5,101,13,0,5
,Acidiphilium multivorum,40,32,34,32,21,20,29,8,46,0,6,12,0,16
,Acidocella,0,0,0,0,0,0,0,0,0,0,17,0,0,0
,unclassified Acidocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidocella sp. GS19h,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidomonas methanolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Asaia,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,Asaia bogorensis,26,16,9,29,40,28,26,16,39,5,0,0,0,6
,Gluconacetobacter,1,1,3,1,1,5,1,3,1,2,13,0,1,0
,Gluconacetobacter diazotrophicus,75,68,71,130,131,85,66,69,79,33,6,32,5,48
,Gluconobacter,7,9,8,14,12,10,5,8,14,2,46,11,2,3
,Gluconobacter albidus,15,20,9,14,21,18,14,15,23,6,5,0,0,9
,Gluconobacter oxydans,53,41,34,47,66,49,46,43,58,14,12,14,8,26
,Granulibacter,1,0,0,0,0,0,0,0,0,0,20,0,0,0
,Granulibacter bethesdensis,57,57,53,90,127,74,70,74,124,23,0,33,0,46
,Komagataeibacter,69,45,78,92,106,74,66,69,79,45,51,48,35,41
,Komagataeibacter europaeus,0,11,6,27,29,15,18,22,26,5,49,6,0,10
,Komagataeibacter maltaceti,0,5,0,0,0,0,0,0,0,0,6,0,0,0
,Komagataeibacter medellinensis,13,18,10,21,21,31,17,18,15,0,0,7,0,14
,Komagataeibacter nataicola,5,22,14,22,35,20,18,26,42,5,0,0,0,13
,Komagataeibacter saccharivorans,25,17,21,25,43,28,23,11,28,0,13,13,6,6
,Komagataeibacter xylinus,37,28,35,38,52,59,38,39,52,15,18,20,5,33
,Kozakia,0,0,0,0,0,0,0,0,0,0,16,0,0,0
,Kozakia baliensis,34,28,14,24,33,36,26,35,43,0,0,12,0,14
,Neoasaia,0,0,0,0,0,0,0,0,0,0,25,0,0,0
,Neoasaia chiangmaiensis,22,27,35,37,46,24,38,34,41,19,0,11,0,7
,Neokomagataea,0,0,0,0,0,0,0,0,0,0,25,0,0,0
,Neokomagataea tanensis,0,0,0,6,7,0,0,5,0,0,0,0,0,0
,Parasaccharibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parasaccharibacter apium,12,6,0,15,19,14,17,12,9,5,0,9,0,5
,Roseomonas,73,94,88,117,107,93,60,69,93,21,0,47,14,36
,Roseomonas gilardii,113,117,138,123,136,108,102,79,127,23,55,37,9,50
,Roseomonas mucosa,106,100,115,100,102,111,88,79,123,25,64,42,25,58
,Stella,121,123,150,156,79,61,58,96,112,21,52,26,10,39
,Stella humosa,354,351,436,475,337,310,234,321,471,87,84,141,44,129
,Stella vacuolata,495,438,544,658,453,374,286,390,513,143,252,171,42,167
,Swingsia,0,0,0,0,0,0,0,0,0,0,273,0,0,0
,Swingsia samuiensis,0,0,0,0,16,0,0,0,0,0,0,0,0,0
,unclassified Acetobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <a-proteobacteria,order Rhodospirillales>",0,0,0,10,0,0,0,0,7,0,0,0,0,0
,uncultured Rhodospirillales bacterium HF4000_24M03,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,Rhodospirillaceae,168,168,217,244,189,140,94,124,231,62,0,89,36,70
,Azospirillum,757,788,1091,1008,969,804,634,736,1155,312,111,369,104,335
,Azospirillum brasilense,512,496,609,570,600,458,347,410,633,174,508,216,67,191
,Azospirillum humicireducens,58,64,84,82,92,61,46,67,90,15,317,24,13,38
,Azospirillum lipoferum,168,185,185,219,248,215,138,173,287,94,45,94,33,86
,Azospirillum ramasamyi,82,69,88,123,116,85,91,58,127,26,117,33,19,36
,Azospirillum thiophilum,140,129,135,191,182,127,117,105,193,50,57,69,21,61
,"environmental samples <a-proteobacteria,genus Azospirillum>",0,0,0,0,0,0,0,0,0,0,75,0,0,0
,uncultured Azospirillum sp.,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,unclassified Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azospirillum sp. TSA2s,138,124,131,140,148,117,115,103,154,25,0,41,18,56
,Azospirillum sp. TSH100,90,107,97,99,135,114,84,87,164,32,67,31,14,45
,Azospirillum sp. TSH58,73,64,74,80,132,89,54,58,88,18,63,26,13,30
,Candidatus Endolissoclinum,0,0,0,0,0,0,0,0,0,0,44,0,0,0
,Candidatus Endolissoclinum faulkneri,5,0,0,0,24,0,8,0,10,0,0,0,0,0
,Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <a-proteobacteria,genus Defluviicoccus>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Defluviicoccus sp.,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,"environmental samples <a-proteobacteria,family Rhodospirillaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodospirillaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haematospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haematospirillum jordaniae,0,9,5,17,21,14,5,7,15,5,0,7,0,0
,Magnetospira,0,0,0,1,0,0,0,0,3,0,9,2,1,0
,unclassified Magnetospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Magnetospira sp. QH-2,56,62,40,90,108,75,73,71,118,33,0,36,8,45
,Magnetospirillum,14,14,31,27,28,26,12,19,25,17,59,13,2,10
,Magnetospirillum gryphiswaldense,135,129,125,165,322,197,144,177,220,70,19,60,23,77
,Magnetospirillum magneticum,153,187,164,295,330,213,148,175,221,67,133,68,32,78
,unclassified Magnetospirillum,0,0,0,0,0,0,0,0,0,0,160,0,0,0
,Magnetospirillum sp. pMbN1,11,6,6,24,10,7,5,8,9,0,0,0,0,0
,Magnetospirillum sp. TS-6,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,Nitrospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nitrospirillum amazonense,157,169,200,223,255,221,153,170,211,62,0,80,18,81
,Niveispirillum,0,0,0,0,1,0,2,2,0,0,143,0,0,0
,Niveispirillum cyanobacteriorum,64,74,69,98,115,94,78,95,115,32,0,27,25,41
,Pararhodospirillum,0,0,0,0,0,0,0,0,0,0,62,0,0,0
,Pararhodospirillum photometricum,74,84,69,91,99,77,53,84,106,36,0,30,13,42
,Rhodospirillum,2,5,9,6,1,3,2,7,9,1,41,1,0,1
,Rhodospirillum centenum,206,203,287,270,243,218,159,167,271,62,1,87,39,94
,Rhodospirillum rubrum,90,97,120,147,187,136,87,115,185,46,128,44,10,51
,Thalassospira,0,0,1,1,2,0,0,1,0,0,78,0,0,0
,Thalassospira xiamenensis,23,20,20,44,62,31,41,41,45,8,2,7,0,17
,Tistrella,0,0,0,0,2,0,1,0,0,0,19,0,0,0
,Tistrella mobilis,203,194,227,259,242,198,153,191,277,58,0,69,29,101
,Rickettsiales,3,4,6,12,16,12,8,12,4,9,123,7,4,6
,Anaplasmataceae,3,7,12,12,10,13,6,7,7,3,15,5,5,20
,Anaplasma,11,0,0,7,7,5,9,13,0,0,18,5,0,0
,"environmental samples <a-proteobacteria,genus Anaplasma>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Anaplasma sp.,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,phagocytophilum group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anaplasma phagocytophilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ehrlichia,0,0,0,0,2,0,1,3,0,5,0,0,0,0
,canis group,2,0,0,0,5,0,7,5,0,6,0,0,0,0
,Ehrlichia canis,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ehrlichia chaffeensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ehrlichia ruminantium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neorickettsia,0,0,0,0,7,0,0,10,0,0,0,0,0,0
,Neorickettsia risticii,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Wolbachieae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia,6,0,0,6,18,7,19,24,8,0,0,5,0,7
,unclassified Wolbachia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia endosymbiont of Cimex lectularius,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia endosymbiont of Culex quinquefasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia endosymbiont of Folsomia candida,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia endosymbiont of Simulium squamosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia pipientis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Midichloriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Midichloria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Midichloria mitochondrii,0,0,0,0,20,0,0,0,0,0,0,0,0,0
,"environmental samples <a-proteobacteria,order Rickettsiales>",1,4,0,9,6,5,8,5,12,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]005I08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]009L19,17,10,12,14,0,0,0,0,0,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]010I05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsiaceae,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Rickettsieae,2,1,0,3,6,2,3,0,2,1,0,3,0,4
,Orientia,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,Orientia tsutsugamushi,0,0,0,0,0,0,6,20,8,0,0,0,0,0
,Rickettsia,13,10,6,16,67,61,69,67,41,8,0,17,10,27
,belli group,0,0,0,0,1,11,2,5,0,0,33,0,0,0
,Rickettsia bellii,0,0,0,0,5,0,8,8,0,0,0,0,0,0
,spotted fever group,23,22,0,28,123,100,95,123,101,21,0,35,14,31
,Rickettsia amblyommatis,0,0,0,0,0,0,0,0,0,0,63,0,0,0
,Rickettsia asiatica,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Rickettsia australis,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,Rickettsia felis,0,0,0,0,11,5,0,8,9,0,0,0,0,0
,Rickettsia japonica,0,0,0,0,0,12,8,18,0,0,6,0,0,8
,Rickettsia massiliae,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Rickettsia monacensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsia montanensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsia philipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsia raoultii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsia rickettsii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,typhus group,2,0,0,0,0,0,0,0,0,0,0,0,0,0
