,,Depth (cm),,,
,unclassified Methylophilaceae,2,0,8,11
,Nitrosomonadaceae,18,10,3,0
,Nitrosomonas,32,29,14,23
,Nitrosomonas communis,24,18,14,0
,Nitrosomonas europaea,32,40,9,0
,Nitrosomonas eutropha,33,19,12,0
,Nitrosomonas stercoris,6,7,0,0
,Nitrosomonas ureae,27,20,21,0
,unclassified Nitrosomonas,0,0,0,0
,Nitrosomonas sp. AL212,15,14,0,0
,Nitrosomonas sp. Is79A3,53,81,17,0
,Nitrosospira,9,33,4,10
,"environmental samples <b-proteobacteria,genus Nitrosospira>",0,0,0,0
,uncultured Nitrosospira sp.,0,0,0,0
,Nitrosospira briensis,58,99,8,0
,Nitrosospira lacus,83,82,19,6
,Nitrosospira multiformis,50,60,15,7
,Nitrosovibrio,0,0,0,0
,Sterolibacteriaceae,0,0,0,0
,Methyloversatilis,0,0,0,0
,Methyloversatilis universalis,0,6,0,0
,Sterolibacterium,0,0,0,0
,Sterolibacterium denitrificans,284,424,42,5
,Sulfurisoma,0,0,0,0
,Sulfurisoma sediminicola,7,7,0,0
,Sulfuritalea,1,0,0,0
,Sulfuritalea hydrogenivorans,1218,697,74,35
,Thiobacillaceae,0,0,0,0
,Thiobacillus,44,115,2,1
,"environmental samples <b-proteobacteria,genus Thiobacillus>",0,0,0,0
,uncultured Thiobacillus sp.,47,139,0,0
,Thiobacillus denitrificans,2433,11488,41,34
,Thiobacillus thioparus,17,142,0,0
,Rhodocyclales,0,0,0,0
,Azonexaceae,0,0,0,0
,Dechloromonas,4,13,0,0
,Dechloromonas aromatica,196,274,82,24
,unclassified Dechloromonas,0,0,0,0
,Dechloromonas sp. CMS,0,8,0,0
,Rhodocyclaceae,525,750,78,37
,Aromatoleum,0,0,0,0
,Aromatoleum anaerobium,0,0,0,0
,Aromatoleum aromaticum,196,171,45,44
,Aromatoleum evansii,0,0,0,0
,Aromatoleum tolulyticum,0,0,0,0
,Azospira,0,0,0,0
,Dechlorosoma suillum,274,394,70,21
,"environmental samples <b-proteobacteria,family Rhodocyclaceae>",0,0,0,0
,uncultured Rhodocyclaceae bacterium,0,0,0,0
,Rugosibacter,0,0,0,0
,Rugosibacter aromaticivorans,283,523,51,27
,Zoogloeaceae,0,0,0,0
,Azoarcus,349,490,78,32
,Azoarcus communis,220,264,62,37
,Azoarcus olearius,32,55,0,5
,"environmental samples <b-proteobacteria,genus Azoarcus>",0,0,0,0
,uncultured Azoarcus sp.,0,0,0,0
,unclassified Azoarcus,0,0,0,0
,Azoarcus sp. BH72,32,39,0,5
,Azoarcus sp. CIB,201,208,46,24
,Azoarcus sp. DN11,202,212,39,32
,Azoarcus sp. KH32C,214,289,53,46
,Thauera,173,207,26,18
,Thauera aromatica,121,190,19,23
,Thauera chlorobenzoica,141,175,27,22
,Thauera humireducens,175,227,33,21
,Thauera selenatis,0,23,0,0
,unclassified Thauera,0,0,0,0
,Thauera sp. MZ1T,268,309,39,40
,Zoogloea,2,6,0,0
,Zoogloea oryzae,45,74,6,0
,Zoogloea resiniphila,0,0,0,0
,unclassified Betaproteobacteria,1,0,0,0
,beta proteobacterium CB,5,16,0,0
,delta/epsilon subdivisions,10,39,13,7
,Deltaproteobacteria,391,267,532,182
,Bradymonadales,0,0,0,0
,Bradymonadaceae,0,0,0,0
,Bradymonas,0,0,0,0
,Bradymonas sediminis,42,19,36,24
,Candidatus Desulfofervidaceae,0,0,0,0
,Candidatus Desulfofervidus,0,0,0,0
,Candidatus Desulfofervidus auxilii,0,24,75,0
,Deltaproteobacteria incertae sedis,11,2,1,5
,Desulfarculales,0,0,0,0
,Desulfarculaceae,0,0,0,0
,Desulfarculus,1,0,0,0
,Desulfarculus baarsii,124,73,153,48
,Desulfobacterales,2,8,6,1
,Desulfobacteraceae,33,17,46,18
,Desulfatibacillum,1,2,5,0
,Desulfatibacillum aliphaticivorans,62,37,101,34
,Desulfatiglans,0,0,0,0
,Desulfatiglans anilini,0,0,0,0
,Desulfobacter,1,1,0,0
,Desulfobacter hydrogenophilus,12,12,37,0
,Desulfobacterium,1,3,0,3
,Desulfobacterium autotrophicum,23,16,41,0
,"environmental samples <d-proteobacteria,genus Desulfobacterium>",0,0,0,0
,uncultured Desulfobacterium sp.,61,66,225,34
,Desulfobacula,0,0,0,0
,Desulfobacula toluolica,5,18,39,7
,Desulfococcus,2,2,2,0
,Desulfococcus multivorans,60,66,114,38
,Desulfococcus oleovorans,85,53,118,58
,Desulfosarcina,0,0,0,0
,Desulfosarcina cetonica,0,0,0,0
,"environmental samples <d-proteobacteria,family Desulfobacteraceae>",0,0,0,0
,uncultured Desulfobacteraceae bacterium,0,0,0,0
,Desulfobulbaceae,12,14,2,10
,Desulfobulbus,0,2,0,0
,Desulfobulbus propionicus,91,39,105,36
,Desulfocapsa,1,0,0,0
,Desulfocapsa sulfexigens,8,9,23,0
,Desulfotalea,0,0,0,0
,Desulfotalea psychrophila,5,0,25,6
,Desulfurivibrio,1,0,0,0
,Desulfurivibrio alkaliphilus,79,57,92,26
,Desulfovibrionales,18,16,26,12
,Desulfohalobiaceae,0,0,0,0
,Desulfohalobium,0,0,0,0
,Desulfohalobium retbaense,18,11,35,14
,Desulfomicrobiaceae,0,1,0,0
,Desulfomicrobium,3,1,5,10
,Desulfomicrobium baculatum,55,44,58,30
,Desulfomicrobium orale,38,20,35,0
,Desulfovibrionaceae,4,4,6,2
,Desulfocurvibacter,0,0,0,0
,Desulfocurvibacter africanus,60,44,96,32
,Desulfovibrio,143,93,174,76
,Desulfovibrio alaskensis,25,11,28,5
,Desulfovibrio carbinolicus,38,30,37,18
,Desulfovibrio desulfuricans,113,44,113,55
,Desulfovibrio fairfieldensis,22,22,25,16
,Desulfovibrio ferrophilus,26,12,29,7
,Desulfovibrio gigas,56,33,60,25
,Desulfovibrio hydrothermalis,5,6,10,0
,Desulfovibrio magneticus,37,26,34,12
,Desulfovibrio piger,41,26,32,18
,Desulfovibrio salexigens,0,14,14,0
,Desulfovibrio vulgaris,122,61,100,50
,Lawsonia,0,0,0,0
,Lawsonia intracellularis,0,0,5,6
,Pseudodesulfovibrio,0,0,0,0
,Pseudodesulfovibrio aespoeensis,68,21,61,18
,Pseudodesulfovibrio piezophilus,5,5,5,5
,Pseudodesulfovibrio profundus,25,7,22,5
,Desulfurellales,0,0,0,0
,Desulfurellaceae,6,7,0,7
,Desulfurella,0,0,0,0
,Desulfurella acetivorans,0,5,23,0
,Hippea,0,0,0,0
,Hippea maritima,0,6,20,0
,Desulfuromonadales,67,35,44,28
,Desulfuromonadaceae,0,0,0,0
,Desulfuromonas,5,1,6,0
,Desulfuromonas soudanensis,141,71,107,45
,"environmental samples <d-proteobacteria,family Desulfuromonadaceae>",0,0,0,0
,uncultured Desulfuromonadaceae bacterium,0,0,0,0
,Pelobacter,8,2,2,9
,"environmental samples <d-proteobacteria,genus Pelobacter>",0,0,0,0
,uncultured Pelobacter sp.,0,0,0,0
,Pelobacter acetylenicus,47,47,51,0
,Pelobacter carbinolicus,27,38,48,11
,Pelobacter propionicus,87,66,100,44
,"environmental samples <d-proteobacteria,order Desulfuromonadales>",0,0,0,0
,uncultured Desulfuromonadales bacterium,0,0,0,0
,Geobacteraceae,4,9,7,2
,"environmental samples <d-proteobacteria,family Geobacteraceae>",0,0,0,0
,uncultured Geobacteraceae bacterium,0,0,0,0
,Geoalkalibacter,0,0,0,0
,Geoalkalibacter subterraneus,54,33,50,17
,Geobacter,269,162,200,96
,"environmental samples <d-proteobacteria,genus Geobacter>",0,0,0,0
,uncultured Geobacter sp.,17,0,10,0
,Geobacter anodireducens,35,31,51,21
,Geobacter bemidjiensis,63,35,44,25
,Geobacter daltonii,51,32,57,15
,Geobacter lovleyi,43,43,56,5
,Geobacter metallireducens,94,52,88,29
,Geobacter pickeringii,111,49,69,51
,Geobacter sulfurreducens,85,75,78,23
,Geobacter uraniireducens,478,179,169,68
,unclassified Geobacter,0,0,0,0
,Geobacter sp. DSM 9736,37,30,45,16
,Geobacter sp. M18,153,100,125,46
,Geobacter sp. M21,76,33,51,17
,Geothermobacter,0,0,0,0
,Geothermobacter ehrlichii,0,0,0,0
,"environmental samples <d-proteobacteria,class Deltaproteobacteria>",11,10,18,2
,uncultured delta proteobacterium,54,30,102,17
,uncultured delta proteobacterium DeepAnt-32C6,0,0,0,0
,Myxococcales,243,104,240,230
,Cystobacterineae,263,98,247,143
,Anaeromyxobacteraceae,0,0,0,0
,Anaeromyxobacter,336,130,289,210
,Anaeromyxobacter dehalogenans,183,85,125,115
,unclassified Anaeromyxobacter,0,0,0,0
,Anaeromyxobacter sp. Fw109-5,256,102,213,225
,Anaeromyxobacter sp. K,50,22,24,26
,Archangiaceae,71,51,82,54
,Archangium,0,0,1,0
,Archangium disciforme,0,0,0,0
,Archangium gephyra,139,53,109,81
,Cystobacter,2,0,3,3
,Cystobacter fuscus,105,39,100,74
,Melittangium,0,0,1,1
,Melittangium boletus,84,28,65,54
,Stigmatella,1,0,1,0
,Stigmatella aurantiaca,119,48,81,62
,Myxococcaceae,148,67,124,94
,Corallococcus,12,3,4,4
,Corallococcus coralloides,199,91,121,100
,Corallococcus macrosporus,69,29,49,48
,Myxococcus,34,14,16,30
,Myxococcus fulvus,0,0,0,0
,Myxococcus hansupus,56,23,31,35
,Myxococcus stipitatus,84,39,69,55
,Myxococcus xanthus,87,37,76,91
,Vulgatibacteraceae,0,0,0,0
,Vulgatibacter,0,0,0,0
,Vulgatibacter incomptus,150,59,101,89
,"environmental samples <d-proteobacteria,order Myxococcales>",7,0,2,0
,uncultured myxobacterium HF0200_01L06,0,0,0,0
,uncultured Myxococcales bacterium,0,0,13,0
,Myxococcales incertae sedis,0,0,0,0
,Enhygromyxa,0,0,0,0
,"environmental samples <d-proteobacteria,genus Enhygromyxa>",0,0,0,0
,uncultured Enhygromyxa sp.,0,0,0,0
,Nannocystineae,5,6,4,4
,Kofleriaceae,2,1,3,4
,Haliangium,1,1,2,3
,"environmental samples <d-proteobacteria,genus Haliangium>",0,0,0,0
,uncultured Haliangium sp.,0,0,0,7
,Haliangium ochraceum,213,99,244,536
,Nannocystaceae,0,0,0,0
,Nannocystis,0,0,8,0
,Nannocystis exedens,0,0,15,0
,Nannocystis pusilla,0,0,0,0
,Sorangiineae,120,103,163,119
,Labilitrichaceae,0,0,0,0
,Labilithrix,0,0,0,0
,Labilithrix luteola,150,118,311,119
,Phaselicystidaceae,0,0,0,0
,Phaselicystis,0,0,0,0
,Phaselicystis flava,0,0,0,0
,Polyangiaceae,18,20,31,45
,Aetherobacter,0,0,0,0
,Aetherobacter rufus,0,0,0,0
,Byssovorax,0,0,0,0
,Byssovorax cruenta,0,0,0,0
,Chondromyces,0,1,0,0
,Chondromyces crocatus,146,76,132,116
,Jahnella,0,0,0,0
,unclassified Jahnella,0,0,0,0
,Jahnella sp. MSr9139,0,0,0,5
,Polyangium,0,0,0,0
,Polyangium spumosum,0,0,0,0
,Sorangium,1,1,1,0
,Sorangium cellulosum,880,474,745,992
,Sandaracinaceae,0,0,0,0
,Sandaracinus,0,0,0,0
,Sandaracinus amylolyticus,266,132,255,232
,Sorangiineae incertae sedis,0,0,0,0
,Minicystis,0,0,0,0
,Minicystis rosea,234,176,282,250
,Syntrophobacterales,8,2,12,2
,"environmental samples <d-proteobacteria,order Syntrophobacterales>",0,0,0,0
,uncultured Syntrophobacterales bacterium,0,0,0,0
,Syntrophaceae,6,3,11,9
,Desulfobacca,5,0,0,0
,Desulfobacca acetoxidans,106,71,107,47
,"environmental samples <d-proteobacteria,genus Desulfobacca>",0,0,0,0
,uncultured Desulfobacca sp.,0,0,0,0
,Desulfomonile,2,2,3,1
,Desulfomonile tiedjei,52,68,113,75
,"environmental samples <d-proteobacteria,genus Desulfomonile>",0,0,0,0
,uncultured Desulfomonile sp.,0,0,0,0
,"environmental samples <d-proteobacteria,family Syntrophaceae>",0,0,0,0
,uncultured Syntrophaceae bacterium,0,0,0,0
,Syntrophus,1,1,4,0
,"environmental samples <d-proteobacteria,genus Syntrophus>",0,0,0,0
,uncultured Syntrophus sp.,0,0,0,0
,Syntrophus aciditrophicus,42,33,88,14
,Syntrophobacteraceae,13,2,5,3
,Desulfacinum,0,0,0,0
,Desulfoglaeba,1,0,0,0
,Desulfoglaeba alkanexedens,132,152,144,64
,"environmental samples <d-proteobacteria,family Syntrophobacteraceae>",0,0,0,0
,uncultured Syntrophobacteraceae bacterium,0,0,0,0
,Syntrophobacter,0,0,0,0
,Syntrophobacter fumaroxidans,87,57,122,50
,Syntrophorhabdaceae,0,0,0,0
,Syntrophorhabdus,0,0,0,0
,"environmental samples <d-proteobacteria,genus Syntrophorhabdus>",0,0,0,0
,uncultured Syntrophorhabdus sp.,0,0,0,0
,unclassified Deltaproteobacteria,0,5,1,0
,delta proteobacterium SM-66-47,0,0,0,0
,Epsilonproteobacteria,90,440,11,22
,Campylobacterales,86,392,16,22
,Campylobacteraceae,19,113,6,3
,Arcobacter group,0,0,0,0
,Arcobacter,87,335,42,68
,Arcobacter anaerophilus,0,24,0,0
,Arcobacter butzleri,0,36,0,0
,Arcobacter cryaerophilus,6,21,0,0
,Arcobacter ellisii,0,19,0,5
,Arcobacter halophilus,0,10,0,0
,Arcobacter marinus,0,10,0,0
,Arcobacter molluscorum,0,12,0,0
,Arcobacter mytili,0,13,0,0
,Arcobacter nitrofigilis,0,18,0,0
,Arcobacter pacificus,0,14,0,0
,Arcobacter skirrowii,0,17,0,0
,Arcobacter suis,0,51,10,46
,Arcobacter thereius,0,8,0,0
,Arcobacter trophiarum,0,7,0,0
,"environmental samples <e-proteobacteria,genus Arcobacter>",0,0,0,0
,uncultured Arcobacter sp.,0,5,0,0
,Halarcobacter,0,0,0,0
,Halarcobacter bivalviorum,0,21,0,0
,unclassified Arcobacter group,0,0,0,0
,Arcobacter sp. L,0,7,0,0
,Campylobacter,90,104,79,40
,Campylobacter avium,0,0,5,0
,Campylobacter coli,0,11,0,0
,Campylobacter concisus,152,22,0,0
,Campylobacter cuniculorum,0,0,0,0
,Campylobacter curvus,69,0,0,0
,Campylobacter fetus,0,5,0,0
,Campylobacter gracilis,374,6,0,0
,Campylobacter helveticus,0,0,0,0
,Campylobacter hominis,0,5,0,0
,Campylobacter hyointestinalis,0,6,0,0
,Campylobacter iguaniorum,0,8,0,0
,Campylobacter insulaenigrae,0,5,0,0
,Campylobacter jejuni,0,29,0,5
,Campylobacter lari,0,0,0,5
,Campylobacter peloridis,0,0,0,0
,Campylobacter showae,279,10,6,5
,Campylobacter sputorum,0,12,0,0
,Campylobacter subantarcticus,0,0,0,0
,Campylobacter upsaliensis,0,0,0,0
,Campylobacter ureolyticus,0,0,0,0
,Campylobacter volucris,0,0,0,0
,unclassified Campylobacter,0,0,0,0
,Campylobacter sp. RM16704,0,0,0,0
,Sulfurospirillum,27,70,39,25
,Sulfurospirillum barnesii,6,26,0,0
,Sulfurospirillum cavolei,14,37,0,0
,Sulfurospirillum deleyianum,7,32,0,0
,Sulfurospirillum halorespirans,14,44,0,5
,Sulfurospirillum multivorans,19,60,0,6
,unclassified Sulfurospirillum,0,0,0,0
,Sulfurospirillum sp. JPD-1,7,28,0,0
,Sulfurospirillum sp. UCH001,6,24,0,7
,Campylobacterales incertae sedis,0,0,0,0
,Nitratifractor,0,0,0,0
,Nitratifractor salsuginis,18,17,6,0
,Helicobacteraceae,49,275,11,15
,Helicobacter,42,74,46,27
,Helicobacter acinonychis,0,0,0,0
,Helicobacter apodemus,0,12,0,0
,Helicobacter bilis,0,0,0,0
,Helicobacter bizzozeronii,0,6,0,0
,Helicobacter canadensis,0,0,0,0
,Helicobacter canis,0,0,0,0
,Helicobacter cetorum,0,0,5,0
,Helicobacter cholecystus,0,0,0,0
,Helicobacter cinaedi,0,12,0,0
,Helicobacter felis,0,0,0,0
,Helicobacter heilmannii,0,0,0,0
,Helicobacter hepaticus,0,0,0,0
,Helicobacter himalayensis,0,9,8,0
,Helicobacter mustelae,0,0,0,0
,Helicobacter pametensis,0,0,0,0
,Helicobacter pullorum,0,8,0,0
,Helicobacter pylori,32,65,36,17
,Helicobacter saguini,0,0,0,0
,Helicobacter suis,0,0,0,0
,Helicobacter typhlonius,0,0,0,0
,unclassified Helicobacter,0,0,0,0
,Helicobacter sp. MIT 01-6242,0,0,0,0
,Sulfuricurvum,326,1244,9,128
,Candidatus Sulfuricurvum sp. RIFRC-1,1075,2775,19,351
,"environmental samples <e-proteobacteria,genus Sulfuricurvum>",0,2,0,0
,uncultured Sulfuricurvum sp.,40,174,0,0
,Sulfuricurvum kujiense,497,1754,0,209
,Sulfurimonas,8,11,0,9
,"environmental samples <e-proteobacteria,genus Sulfurimonas>",0,0,0,0
,uncultured Sulfurimonas sp.,0,0,0,0
,Sulfurimonas autotrophica,17,80,0,10
,Sulfurimonas denitrificans,76,90,0,39
,Sulfurimonas gotlandica,0,0,0,0
,unclassified Sulfurimonas,0,0,0,0
,Sulfurimonas sp. HDNS4,0,0,0,0
,Wolinella,0,1,0,0
,Wolinella succinogenes,0,18,0,0
,"environmental samples <e-proteobacteria,class Epsilonproteobacteria>",1,0,0,0
,uncultured Epsilonproteobacteria bacterium,77,290,0,11
,Epsilonproteobacteria incertae sedis,3,4,6,5
,Nitratiruptor,0,0,0,0
,unclassified Nitratiruptor,0,0,0,0
,Nitratiruptor sp. SB155-2,5,11,0,0
,Sulfurovum,15,17,7,0
,"environmental samples <e-proteobacteria,genus Sulfurovum>",0,0,0,0
,uncultured Sulfurovum sp.,0,0,0,0
,Sulfurovum lithotrophicum,5,35,0,0
,unclassified Sulfurovum,0,0,0,0
,Sulfurovum sp. NBC37-1,0,13,6,0
,Nautiliales,0,0,0,0
,Nautiliaceae,11,7,5,10
,Caminibacter,0,0,0,0
,Caminibacter mediatlanticus,0,8,0,0
,Cetia,0,0,0,0
,Cetia pacifica,0,0,0,6
,Nautilia,0,0,0,0
,Nautilia profundicola,0,5,0,0
,"environmental samples <proteobacteria,phylum Proteobacteria>",0,0,0,0
,uncultured proteobacterium,0,0,0,0
,Gammaproteobacteria,2394,2881,1089,580
,Acidiferrobacterales,0,0,0,0
,Acidiferrobacteraceae,0,0,0,0
,Acidiferrobacter,0,0,0,0
,unclassified Acidiferrobacter,0,0,0,0
,Acidiferrobacter sp. SPIII_3,85,80,20,10
,Aeromonadales,1,0,0,0
,Aeromonadaceae,25,28,9,9
,Aeromonas,182,206,104,55
,Aeromonas caviae,73,37,27,16
,Aeromonas dhakensis,0,0,0,0
,Aeromonas encheleia,19,0,0,0
,Aeromonas hydrophila,103,87,45,22
,Aeromonas media,0,15,0,0
,Aeromonas rivipollensis,0,0,0,0
,Aeromonas salmonicida,27,28,22,0
,Aeromonas schubertii,23,22,15,0
,Aeromonas tecta,0,0,0,0
,Aeromonas veronii,51,44,22,25
,Oceanimonas,2,0,2,5
,unclassified Oceanimonas,0,0,0,0
,Oceanimonas sp. GK1,24,31,12,11
,Oceanisphaera,0,0,0,0
,Oceanisphaera profunda,0,0,0,0
,Tolumonas,0,0,0,0
,Tolumonas auensis,5,13,5,5
,Zobellella,0,0,0,0
,Zobellella denitrificans,49,54,26,7
,Alteromonadales,20,10,27,32
,Alteromonadaceae,17,14,24,22
,Agarivorans,0,0,0,0
,Agarivorans gilvus,5,0,0,0
,Alteromonas,5,9,3,6
,Alteromonas addita,0,0,0,0
,Alteromonas australica,0,0,0,0
,Alteromonas macleodii,18,16,6,0
,Alteromonas mediterranea,0,0,0,0
,Alteromonas naphthalenivorans,0,0,0,0
,Alteromonas stellipolaris,0,0,0,0
,"environmental samples <g-proteobacteria,genus Alteromonas>",0,0,0,0
,unclassified Alteromonas,0,0,0,0
,Alteromonas sp.,0,0,0,0
,Glaciecola,5,6,1,0
,Glaciecola nitratireducens,0,0,5,0
,unclassified Glaciecola,0,0,0,0
,Glaciecola sp. 4H-3-7+YE-5,0,0,0,0
,Lacimicrobium,0,0,0,0
,Lacimicrobium alkaliphilum,18,8,12,0
,Marinobacter,37,28,18,18
,Marinobacter adhaerens,20,21,11,0
,Marinobacter hydrocarbonoclasticus,54,42,24,19
,Marinobacter psychrophilus,0,0,0,0
,Marinobacter salarius,19,36,6,5
,Marinobacter similis,22,5,14,0
,unclassified Marinobacter,0,0,0,0
,Marinobacter sp.,0,0,0,0
,Marinobacter sp. BSs20148,0,0,0,0
,Marinobacter sp. LV10R510-11A,9,6,5,0
,Paraglaciecola,0,0,0,0
,Paraglaciecola psychrophila,0,0,5,0
,Salinimonas,0,0,0,0
,Salinimonas lutimaris,0,5,0,0
,unclassified Alteromonadaceae,0,0,0,0
,Alteromonadales genera incertae sedis,4,0,0,9
,Colwelliaceae,0,0,1,0
,Colwellia,0,1,1,0
,Colwellia psychrerythraea,0,5,6,0
,unclassified Colwellia,0,0,0,0
,Colwellia sp. MT41,0,0,0,0
,Litorilituus,0,0,0,0
,Litorilituus sediminis,0,5,0,0
,Ferrimonadaceae,0,0,0,0
,Ferrimonas,0,0,1,0
,Ferrimonas balearica,27,20,12,0
,Idiomarinaceae,0,6,6,0
,Idiomarina,5,12,0,0
,Idiomarina loihiensis,0,0,0,0
,Idiomarina piscisalsi,0,0,0,0
,unclassified Idiomarinaceae,0,0,0,0
,Idiomarinaceae bacterium HL-53,0,0,0,0
,Moritellaceae,0,0,0,0
,Moritella,0,0,0,0
,Moritella viscosa,0,0,0,0
,Moritella yayanosii,0,0,0,0
,Pseudoalteromonadaceae,0,0,0,0
,Pseudoalteromonas,54,53,39,35
,Pseudoalteromonas agarivorans,0,0,0,0
,Pseudoalteromonas aliena,0,0,0,0
,Pseudoalteromonas arctica,0,0,0,0
,Pseudoalteromonas atlantica,0,0,0,0
,Pseudoalteromonas carrageenovora,0,0,0,0
,Pseudoalteromonas donghaensis,0,0,0,0
,Pseudoalteromonas espejiana,0,0,0,0
,Pseudoalteromonas haloplanktis,0,0,0,0
,Pseudoalteromonas issachenkonii,0,0,0,0
,Pseudoalteromonas luteoviolacea,0,0,0,0
,Pseudoalteromonas marina,0,0,0,0
,Pseudoalteromonas nigrifaciens,0,0,0,0
,Pseudoalteromonas phenolica,0,0,0,0
,Pseudoalteromonas piratica,0,0,0,0
,Pseudoalteromonas piscicida,0,0,0,0
,Pseudoalteromonas rubra,0,0,0,5
,Pseudoalteromonas spongiae,0,0,0,0
,Pseudoalteromonas tetraodonis,0,0,0,0
,Pseudoalteromonas translucida,0,0,0,0
,Pseudoalteromonas tunicata,0,0,0,0
,unclassified Pseudoalteromonas,0,0,0,0
,Pseudoalteromonas sp. Bsw20308,0,0,0,0
,Pseudoalteromonas sp. DL-6,0,0,0,0
,Pseudoalteromonas sp. SM9913,0,0,0,0
,Psychromonadaceae,0,0,0,0
,Psychromonas,1,6,0,0
,Psychromonas ingrahamii,5,7,0,0
,unclassified Psychromonas,0,0,0,0
,Psychromonas sp. CNPT3,0,0,0,0
,Shewanellaceae,0,0,0,0
,Parashewanella,0,0,0,0
,Parashewanella spongiae,0,0,0,0
,Shewanella,63,89,72,58
,Shewanella algae,14,8,7,0
,Shewanella amazonensis,18,11,0,0
,Shewanella baltica,0,0,5,0
,Shewanella benthica,0,0,0,0
,Shewanella decolorationis,0,0,0,0
,Shewanella denitrificans,0,5,0,0
,Shewanella donghaensis,0,5,0,0
,Shewanella frigidimarina,0,0,0,0
,Shewanella halifaxensis,0,0,0,0
,Shewanella japonica,0,0,0,0
,Shewanella livingstonensis,0,0,0,0
,Shewanella loihica,15,6,7,0
,Shewanella marisflavi,0,6,5,0
,Shewanella oneidensis,0,0,0,0
,Shewanella pealeana,5,0,0,0
,Shewanella piezotolerans,0,0,0,0
,Shewanella psychrophila,0,0,0,0
,Shewanella putrefaciens,0,0,0,0
,Shewanella sediminis,0,0,5,0
,Shewanella violacea,0,0,6,0
,Shewanella woodyi,0,0,0,0
,unclassified Shewanella,0,0,0,0
,Shewanella sp. ANA-3,0,0,0,0
,Shewanella sp. MR-4,0,0,0,0
,Shewanella sp. MR-7,0,0,0,0
,Shewanella sp. W3-18-1,0,0,0,0
,Cardiobacteriales,0,0,0,0
,Cardiobacteriaceae,4,2,1,0
,Cardiobacterium,0,0,0,0
,Cardiobacterium hominis,234,24,5,0
,Dichelobacter,0,0,0,0
,Dichelobacter nodosus,0,0,0,0
,Cellvibrionales,0,0,0,0
,Cellvibrionaceae,0,0,0,0
,Cellvibrio,0,0,0,0
,Cellvibrio japonicus,13,9,9,0
,Saccharophagus,0,0,0,0
,Saccharophagus degradans,0,0,0,0
,Simiduia,0,0,0,0
,Simiduia agarivorans,23,15,5,5
,Teredinibacter,0,0,0,0
,Teredinibacter turnerae,7,19,12,0
,Halieaceae,0,0,0,0
,Haliea,0,0,0,0
,unclassified Haliea,0,0,0,0
,Haliea sp. ETY-M,0,0,0,0
,Halioglobus,0,6,0,5
,Halioglobus japonicus,23,7,13,0
,Halioglobus pacificus,17,9,15,0
,Microbulbiferaceae,0,0,0,0
,Microbulbifer,7,6,11,9
,Microbulbifer agarilyticus,13,0,0,0
,Microbulbifer thermotolerans,12,27,15,5
,unclassified Microbulbifer,0,0,0,0
,Microbulbifer sp. A4B17,6,19,0,0
,Spongiibacteraceae,0,0,0,0
,Oceanicoccus,0,0,0,0
,Oceanicoccus sagamiensis,0,8,0,0
,Zhongshania,0,0,0,0
,Zhongshania aliphaticivorans,6,5,0,0
,Chromatiales,32,41,20,14
,Chromatiaceae,47,43,25,17
,Allochromatium,0,0,0,0
,Allochromatium vinosum,133,157,46,25
,Marichromatium,0,0,1,0
,Marichromatium purpuratum,100,130,42,19
,Nitrosococcus,12,12,11,14
,Nitrosococcus halophilus,26,24,40,0
,Nitrosococcus oceani,0,6,5,0
,Nitrosococcus watsonii,13,0,7,0
,Rheinheimera,0,0,0,0
,Thiocapsa,5,1,0,0
,Thiocapsa roseopersicina,5,5,0,0
,Thiococcus,0,0,0,0
,Thiococcus pfennigii,0,0,0,0
,Thiocystis,3,1,2,0
,Thiocystis violascens,129,134,63,26
,Thiodictyon,3,0,0,0
,Candidatus Thiodictyon syntrophicum,198,197,112,51
,unclassified Thiodictyon,0,0,0,0
,Thiodictyon sp. f4,0,0,0,0
,Thioflavicoccus,0,1,1,0
,Thioflavicoccus mobilis,126,70,55,37
,Chromatiales incertae sedis,0,0,0,0
,Thiohalobacter,0,0,0,0
,Thiohalobacter thiocyanaticus,229,289,104,33
,Ectothiorhodospiraceae,36,41,14,3
,Acidihalobacter,0,0,0,0
,Acidihalobacter prosperus,197,248,38,27
,Alkalilimnicola,0,0,0,0
,Alkalilimnicola ehrlichii,83,81,34,31
,Arhodomonas,0,0,0,0
,unclassified Arhodomonas,0,0,0,0
,Arhodomonas sp. Seminole,0,0,0,0
,Ectothiorhodospira,23,18,15,12
,Ectothiorhodospira haloalkaliphila,35,58,31,0
,unclassified Ectothiorhodospira,0,0,0,0
,Ectothiorhodospira sp. BSL-9,36,49,18,6
,Halorhodospira,7,3,1,4
,Halorhodospira halochloris,0,0,17,0
,Halorhodospira halophila,62,51,30,19
,Spiribacter,0,0,0,7
,Spiribacter curvatus,29,18,12,6
,Spiribacter salinus,26,15,21,0
,Thioalkalivibrio,63,95,21,17
,Thioalkalivibrio nitratireducens,92,87,34,20
,Thioalkalivibrio paradoxus,88,103,24,20
,Thioalkalivibrio sulfidiphilus,149,243,47,28
,Thioalkalivibrio versutus,78,136,14,18
,unclassified Thioalkalivibrio,0,0,0,0
,Thioalkalivibrio sp. K90mix,78,93,30,19
,"environmental samples <g-proteobacteria,order Chromatiales>",0,0,0,0
,Granulosicoccaceae,0,0,0,0
,Granulosicoccus,0,0,0,0
,Granulosicoccus antarcticus,25,5,12,0
,Halothiobacillaceae,0,0,0,0
,Halothiobacillus,2,5,0,0
